anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,152,2024-01-02,22400.75
2024,586,2024-01-05,17555
2024,592,2024-01-05,7011
2024,146,2024-01-02,135841.42
2024,196,2024-01-02,1313521
2024,158,2024-01-02,131772.48
2024,658,2024-01-12,18298
2024,399,2024-01-03,217161.46
2024,187,2024-01-02,48310.07
2024,40,2024-01-02,93550
2024,75,2024-01-02,811240
2024,292,2024-01-03,6699.3
2024,596,2024-01-05,5703
2024,304,2024-01-03,115050
2024,121,2024-01-02,506100
2024,595,2024-01-05,28077
2024,799,2024-01-25,487240.34
2024,657,2024-01-12,57600
2024,228,2024-01-02,22750
2024,1115,2024-01-31,34762.5
2024,1110,2024-01-31,119.61
2024,1111,2024-01-31,119.61
2024,594,2024-01-05,3286.76
2024,601,2024-01-05,2245
2024,398,2024-01-03,424999.99
2024,394,2024-01-03,10777.1
2024,202,2024-01-02,10000
2024,215,2024-01-02,240000
2024,357,2024-01-03,30000
2024,459,2024-01-04,122500
2024,597,2024-01-05,45000
2024,754,2024-01-22,119.61
2024,1116,2024-01-31,34762.5
2024,310,2024-01-03,20000
2024,401,2024-01-03,4200
2024,68,2024-01-02,80590
2024,582,2024-01-05,3279850
2024,192,2024-01-02,13761.9
2024,364,2024-01-03,700000
2024,226,2024-01-02,310000
2024,347,2024-01-03,200000
2024,186,2024-01-02,102678.53
2024,200,2024-01-02,451964.14
2024,589,2024-01-05,26924
2024,157,2024-01-02,203785.13
2024,315,2024-01-03,1250000
2024,57,2024-01-02,242500
2024,546,2024-01-04,1141250.73
2024,311,2024-01-03,10000
2024,155,2024-01-02,36039.14
2024,210,2024-01-02,117892.25
2024,298,2024-01-03,210268
2024,590,2024-01-05,76491.65
2024,216,2024-01-02,10000
2024,207,2024-01-02,308522.99
2024,566,2024-01-04,2718207.97
2024,343,2024-01-03,70000
2024,50,2024-01-02,531417.12
2024,159,2024-01-02,447004.25
2024,156,2024-01-02,54390
2024,598,2024-01-05,21022.1
2024,591,2024-01-05,17337.52
2024,583,2024-01-05,315238
2024,827,2024-01-25,3712.62
2024,593,2024-01-05,3413
2024,300,2024-01-03,576409.91
2024,1144,2024-02-05,50059.15
2024,1321,2024-02-14,47572
2024,1242,2024-02-09,146.66
2024,1227,2024-02-08,70346.2
2024,1119,2024-02-01,119.61
2024,1224,2024-02-08,54625
2024,1287,2024-02-13,29835.3
2024,1226,2024-02-08,17989.44
2024,1145,2024-02-05,34875.37
2024,1222,2024-02-08,18540.2
2024,1483,2024-02-26,79.79
2024,1372,2024-02-19,80000
2024,1450,2024-02-21,451972.44
2024,1288,2024-02-13,28103.99
2024,1320,2024-02-14,119.61
2024,1143,2024-02-05,1417500
2024,1241,2024-02-09,146.66
2024,1371,2024-02-19,18577.98
2024,1223,2024-02-08,35997.04
2024,1221,2024-02-08,2514
2024,1487,2024-02-26,67500
2024,1812,2024-03-04,4830
2024,2073,2024-03-18,84840
2024,2076,2024-03-18,13020
2024,2129,2024-03-21,18832.69
2024,1811,2024-03-04,14664
2024,2079,2024-03-19,612500
2024,1816,2024-03-04,145
2024,1813,2024-03-04,46229.8
2024,1868,2024-03-06,45143.75
2024,1815,2024-03-04,26658.8
2024,1810,2024-03-04,24177.5
2024,2083,2024-03-19,28047.96
2024,1936,2024-03-08,185000
2024,1873,2024-03-06,101787.51
2024,1806,2024-03-04,20191
2024,2128,2024-03-21,36577
2024,1937,2024-03-08,15000
2024,1807,2024-03-04,8030
