anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,886,2025-01-30,1362.47
2025,1004,2025-01-30,2226430.96
2025,1006,2025-01-30,56089.47
2025,1733,2025-02-27,1702.25
2025,1737,2025-02-27,2770409.71
2025,1689,2025-02-27,7463.51
2025,1692,2025-02-27,2571.06
2025,2351,2025-03-28,2159.05
2025,2401,2025-03-28,3024894.91
2025,2348,2025-03-28,9944.26
2025,3031,2025-04-29,1057.03
2025,3061,2025-04-29,2903637.24
2025,3026,2025-04-29,7326.29
2025,3683,2025-05-29,4781.46
2025,3750,2025-05-29,3137450.42
2025,3685,2025-05-29,663.03
2025,4278,2025-06-26,13.41
2025,4272,2025-06-26,72277.32
2025,4465,2025-06-26,1755.12
2025,4496,2025-06-26,9689.59
2025,4279,2025-06-26,155010.46
2025,4498,2025-06-26,3181185.58
2025,4314,2025-06-26,179664.16
2025,4289,2025-06-26,169942.67
2025,4422,2025-06-26,1792.65
2025,4459,2025-06-26,9665.39
2025,4271,2025-06-26,68637.04
2025,5208,2025-07-30,3276695.83
2025,5176,2025-07-30,3128.12
2025,5172,2025-07-30,20712.44
2025,4745,2025-07-10,1506953.3
2025,5204,2025-07-30,5311.71
2025,5791,2025-08-28,989.28
2025,5793,2025-08-28,3187.68
2025,5368,2025-08-01,5304.23
2025,5821,2025-08-28,3348235.86
2025,6464,2025-09-29,39402.04
2025,6467,2025-09-29,2435.96
2025,6509,2025-09-29,3300305.97
2025,6470,2025-09-29,7751.19
2025,7080,2025-10-30,3343409.48
2025,7049,2025-10-30,5846.35
2025,7043,2025-10-30,3642.9
2025,7047,2025-10-30,16730.05
2025,7579,2025-11-27,3579.86
2025,7602,2025-11-27,3831.47
2025,7606,2025-11-27,3679.89
2025,7652,2025-11-27,3384663.18
2025,7603,2025-11-27,13199.08
2025,7524,2025-11-21,26721.65
2025,8036,2025-12-18,59015.86
2025,8232,2025-12-18,134442.02
2025,7905,2025-12-10,1582148.6
2025,7964,2025-12-10,19177.06
2025,8034,2025-12-18,556991.02
2025,8230,2025-12-18,10158.04
2025,8254,2025-12-18,211975.61
2025,8247,2025-12-18,792908.73
2025,8236,2025-12-18,4044.46
2025,8052,2025-12-18,805807.76
2025,8249,2025-12-18,373164.32
2025,8109,2025-12-18,2671251.1
2025,7907,2025-12-10,1168.65
