anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,544,2023-01-30,14409.88
2023,520,2023-01-30,229671.97
2023,960,2023-02-27,2192.52
2023,832,2023-02-17,8446.68
2023,972,2023-02-27,192179.17
2023,833,2023-02-17,952.61
2023,1382,2023-03-30,747.08
2023,1370,2023-03-30,169502.99
2023,1393,2023-03-30,6116.49
2023,1744,2023-04-27,163370.34
2023,2168,2023-05-31,211439.54
2023,2516,2023-06-29,6764.74
2023,2531,2023-06-29,194025.06
2023,2958,2023-07-27,11140.98
2023,2973,2023-07-27,19914.05
2023,2663,2023-07-06,78001.98
2023,2940,2023-07-27,170419.71
2023,3340,2023-08-30,170840.82
2023,3750,2023-09-28,173580.38
2023,3878,2023-10-06,3530
2023,4145,2023-10-27,147588.03
2023,4646,2023-11-29,16491.88
2023,4581,2023-11-29,153842.17
2023,4626,2023-11-29,706
2023,4951,2023-12-21,9086.64
2023,4944,2023-12-21,1845.8
2023,5043,2023-12-22,706
2023,4989,2023-12-22,140904.08
2023,4773,2023-12-07,81191.87
2023,5012,2023-12-22,12070.8
