anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,2251,2025-03-21,957.43
2025,4112,2025-06-18,590
2025,4047,2025-06-12,5000
2025,4113,2025-06-18,39.9
2025,4147,2025-06-18,307.75
2025,4626,2025-06-27,307.75
2025,4625,2025-06-27,512.91
2025,4146,2025-06-18,512.91
2025,4148,2025-06-18,307.75
2025,4711,2025-07-07,79.79
2025,4712,2025-07-07,79.79
2025,6129,2025-09-08,79.79
2025,6128,2025-09-08,79.79
2025,6388,2025-09-23,1222
2025,6386,2025-09-23,120
2025,6393,2025-09-23,120
2025,6387,2025-09-23,465
2025,6026,2025-09-02,79.79
2025,7008,2025-10-27,1015
2025,6927,2025-10-20,120
2025,7007,2025-10-27,1514
2025,7489,2025-11-18,258
2025,7898,2025-12-09,258
2025,7899,2025-12-09,120
