anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,910,2023-01-30,1732.5
2023,921,2023-01-30,5306.83
2023,27,2023-01-02,550000
2023,914,2023-01-30,192.5
2023,916,2023-01-30,47589.2
2023,908,2023-01-30,122625
2023,911,2023-01-30,2970.92
2023,917,2023-01-30,97414.63
2023,1445,2023-02-27,1783.83
2023,1453,2023-02-27,106973.82
2023,1446,2023-02-27,3099.25
2023,1184,2023-02-10,12.84
2023,1449,2023-02-27,192.5
2023,1443,2023-02-27,120870
2023,1452,2023-02-27,54053.91
2023,1459,2023-02-27,5206.25
2023,1397,2023-02-23,44.92
2023,2079,2023-03-30,120237.75
2023,2088,2023-03-30,73650.4
2023,2081,2023-03-30,1918.58
2023,2082,2023-03-30,3080
2023,1653,2023-03-07,205.33
2023,2094,2023-03-30,4683.58
2023,2089,2023-03-30,141344.18
2023,1648,2023-03-07,10760.51
2023,2085,2023-03-30,192.5
2023,1652,2023-03-07,234.21
2023,1647,2023-03-07,6551.36
2023,2757,2023-04-27,3051.12
2023,2764,2023-04-27,144050.54
2023,2756,2023-04-27,1918.58
2023,2763,2023-04-27,74715.58
2023,2754,2023-04-27,120540.08
2023,2760,2023-04-27,192.5
2023,2769,2023-04-27,4682.56
2023,3418,2023-05-31,3267.16
2023,3425,2023-05-31,155418.21
2023,3415,2023-05-31,125995.94
2023,3421,2023-05-31,209.3
2023,3424,2023-05-31,80693.8
2023,3430,2023-05-31,4998.27
2023,3417,2023-05-31,1904.07
2023,4166,2023-06-29,78119.92
2023,4167,2023-06-29,153896.52
2023,4160,2023-06-29,1580.41
2023,4161,2023-06-29,3378.46
2023,4164,2023-06-29,200.9
2023,4171,2023-06-29,4218.57
2023,4158,2023-06-29,127927.28
2023,4821,2023-07-27,78505.03
2023,4815,2023-07-27,3405.26
2023,4818,2023-07-27,200.9
2023,4812,2023-07-27,127059.94
2023,4827,2023-07-27,4608.67
2023,4814,2023-07-27,1382.86
2023,4822,2023-07-27,155493.32
2023,4635,2023-07-13,505812.01
2023,5493,2023-08-30,5110.28
2023,5503,2023-08-30,6392.3
2023,5507,2023-08-30,170031.65
2023,5496,2023-08-30,300.9
2023,5509,2023-08-30,231222.05
2023,5492,2023-08-30,2091.26
2023,5508,2023-08-30,118086.39
2023,6124,2023-09-28,2089.96
2023,6135,2023-09-28,6641.36
2023,6141,2023-09-28,231059.86
2023,6129,2023-09-28,300.9
2023,6139,2023-09-28,170405.52
2023,6140,2023-09-28,117559.02
2023,6125,2023-09-28,5060.11
2023,6704,2023-10-27,2095.97
2023,6703,2023-10-27,171915
2023,6713,2023-10-27,233259.92
2023,6705,2023-10-27,4824.43
2023,6712,2023-10-27,118492.02
2023,6709,2023-10-27,300.9
2023,6719,2023-10-27,7021.95
2023,7521,2023-11-29,381.14
2023,7397,2023-11-29,2982.68
2023,7522,2023-11-29,619.29
2023,7400,2023-11-29,5075.18
2023,7406,2023-11-29,117433.75
2023,7410,2023-11-29,433116.69
2023,7404,2023-11-29,300.9
2023,7399,2023-11-29,1955.85
2023,7409,2023-11-29,601.8
2023,7958,2023-12-22,300.9
2023,7966,2023-12-22,601.8
2023,7932,2023-12-21,4739.18
2023,7952,2023-12-22,4867.22
2023,7951,2023-12-22,1850.53
2023,7962,2023-12-22,103289.93
2023,7963,2023-12-22,409651.69
2023,7948,2023-12-22,2900.06
2023,7931,2023-12-21,3480.41
