anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,555,2023-01-30,39.9
2023,83,2023-01-02,3500
2023,74,2023-01-02,21000
2023,556,2023-01-30,39.9
2023,553,2023-01-30,39.9
2023,331,2023-01-25,39.9
2023,330,2023-01-25,39.9
2023,554,2023-01-30,39.9
2023,66,2023-01-02,5000
2023,901,2023-02-22,39.9
2023,930,2023-02-24,39.9
2023,749,2023-02-08,39.9
2023,821,2023-02-17,39.9
2023,932,2023-02-24,39.9
2023,751,2023-02-08,39.9
2023,929,2023-02-24,39.9
2023,913,2023-02-23,39.9
2023,822,2023-02-17,39.9
2023,823,2023-02-17,39.9
2023,900,2023-02-22,39.9
2023,912,2023-02-23,39.9
2023,931,2023-02-24,39.9
2023,750,2023-02-08,39.9
2023,911,2023-02-23,39.9
2023,1120,2023-03-07,39.9
2023,1400,2023-03-30,39.9
2023,1401,2023-03-30,39.9
2023,1402,2023-03-30,39.9
2023,1242,2023-03-21,178535.99
2023,1061,2023-03-02,39.9
2023,1059,2023-03-02,39.9
2023,1060,2023-03-02,39.9
2023,1117,2023-03-07,39.9
2023,1121,2023-03-07,39.9
2023,1119,2023-03-07,39.9
2023,1118,2023-03-07,39.9
2023,1495,2023-04-11,39.9
2023,1559,2023-04-18,39.9
2023,1496,2023-04-11,39.9
2023,1659,2023-04-25,39.9
2023,1661,2023-04-25,39.9
2023,1561,2023-04-18,39.9
2023,1560,2023-04-18,39.9
2023,1494,2023-04-11,39.9
2023,1660,2023-04-25,39.9
2023,2010,2023-05-16,39.9
2023,2009,2023-05-16,39.9
2023,2067,2023-05-23,39.9
2023,2011,2023-05-16,39.9
2023,2066,2023-05-23,39.9
2023,2065,2023-05-23,39.9
2023,2466,2023-06-23,39.9
2023,2596,2023-06-30,5000
2023,2329,2023-06-13,39.9
2023,2448,2023-06-21,39.9
2023,2334,2023-06-13,39.9
2023,2465,2023-06-23,39.9
2023,2449,2023-06-21,39.9
2023,2333,2023-06-13,39.9
2023,2335,2023-06-13,39.9
2023,2474,2023-06-23,39.9
2023,2475,2023-06-23,39.9
2023,2332,2023-06-13,39.9
2023,2353,2023-06-14,21000
2023,2330,2023-06-13,39.9
2023,2336,2023-06-14,2661.74
2023,2328,2023-06-13,39.9
2023,2327,2023-06-13,39.9
2023,2644,2023-07-04,39.9
2023,2645,2023-07-04,39.9
2023,2821,2023-07-17,39.9
2023,2643,2023-07-04,39.9
2023,2881,2023-07-24,39.9
2023,2820,2023-07-17,39.9
2023,2646,2023-07-04,39.9
2023,2647,2023-07-04,39.9
2023,2648,2023-07-04,39.9
2023,2882,2023-07-24,39.9
2023,2819,2023-07-17,39.9
2023,3404,2023-08-31,39.9
2023,3102,2023-08-11,39.9
2023,3244,2023-08-21,39.9
2023,3401,2023-08-31,39.9
2023,3243,2023-08-21,39.9
2023,3398,2023-08-31,39.9
2023,3399,2023-08-31,39.9
2023,3104,2023-08-11,39.9
2023,3405,2023-08-31,39.9
2023,3403,2023-08-31,39.9
2023,3242,2023-08-21,39.9
2023,3103,2023-08-11,39.9
2023,3140,2023-08-14,39.9
2023,3402,2023-08-31,39.9
2023,3400,2023-08-31,39.9
2023,3523,2023-09-13,39.9
2023,3482,2023-09-11,39.9
2023,3522,2023-09-13,39.9
2023,3649,2023-09-21,307.75
2023,3691,2023-09-25,39.9
2023,3688,2023-09-25,39.9
2023,3483,2023-09-11,39.9
2023,3662,2023-09-22,39.9
2023,3484,2023-09-11,39.9
2023,3648,2023-09-21,307.75
2023,3521,2023-09-13,39.9
2023,3663,2023-09-22,39.9
2023,3690,2023-09-25,39.9
2023,3689,2023-09-25,39.9
2023,3692,2023-09-25,307.75
2023,5107,2023-12-29,1552.34
2023,5077,2023-12-29,540.37
