anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,890,2024-02-16,73176.79
2024,889,2024-02-16,187630.26
2024,1183,2024-03-05,371534.2
2024,1310,2024-03-12,121000
2024,1184,2024-03-05,1233345.3
2024,1151,2024-03-01,5000
2024,1283,2024-03-11,150000
2024,1185,2024-03-05,5000
2024,1266,2024-03-11,14400
2024,1150,2024-03-01,778811.8
2024,1149,2024-03-01,183263.2
2024,1890,2024-04-24,118148.8
2024,1599,2024-04-01,296914.81
2024,1595,2024-04-01,1631985
2024,1878,2024-04-23,106910
2024,1891,2024-04-24,12549.24
2024,1590,2024-04-01,125380
2024,1596,2024-04-01,219600.05
2024,1893,2024-04-24,143505
2024,2293,2024-05-21,168451.8
2024,2227,2024-05-14,8430
2024,2119,2024-05-06,63029.76
2024,2235,2024-05-15,554797.4
2024,2116,2024-05-03,1584405
2024,2157,2024-05-08,200
2024,2240,2024-05-15,2500000
2024,2292,2024-05-21,88740
2024,2552,2024-05-31,1408.5
2024,2551,2024-05-31,72057.72
2024,2434,2024-05-29,320000
2024,2226,2024-05-14,3776
2024,2357,2024-05-24,1434
2024,2118,2024-05-06,84852.74
2024,2828,2024-06-19,22284.5
2024,2931,2024-06-27,57000
2024,2639,2024-06-10,180000
2024,3029,2024-06-28,35158.5
2024,2680,2024-06-12,420000
2024,2827,2024-06-19,25063.2
2024,2930,2024-06-27,26538
2024,3153,2024-07-08,300000
2024,3516,2024-07-31,9799.08
2024,3168,2024-07-09,11991
2024,3351,2024-07-24,190606.52
2024,3515,2024-07-31,78178.65
2024,3154,2024-07-08,60000
2024,3794,2024-08-20,11020.7
2024,3882,2024-08-28,3
2024,3787,2024-08-19,1000
2024,3788,2024-08-19,81030
2024,3870,2024-08-27,100000
2024,3869,2024-08-27,18944.88
2024,3894,2024-08-28,130000
2024,3579,2024-08-06,189000
2024,4346,2024-09-24,10000
2024,4160,2024-09-10,218949
2024,4347,2024-09-24,1033.05
2024,4194,2024-09-12,10445
2024,4186,2024-09-11,500000
2024,4514,2024-10-02,152662.31
2024,4646,2024-10-11,74750.96
2024,5161,2024-11-19,29332
2024,5163,2024-11-19,35004.78
2024,5156,2024-11-18,50221.66
2024,5162,2024-11-19,575676.97
2024,5819,2024-12-27,131656.1
2024,5820,2024-12-27,5856
2024,5818,2024-12-27,28321
2024,5821,2024-12-27,4590
