anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,495,2024-01-04,6179.72
2024,539,2024-01-04,141350
2024,540,2024-01-04,105268.9
2024,849,2024-01-26,8589
2024,191,2024-01-02,184759
2024,617,2024-01-09,5526
2024,1501,2024-02-26,33000
2024,1741,2024-02-29,610836.6
2024,1280,2024-02-12,15995
2024,1271,2024-02-12,10679
2024,1270,2024-02-12,5994
2024,1272,2024-02-12,1320.97
2024,2071,2024-03-18,11815
2024,2141,2024-03-21,64540
2024,1984,2024-03-12,47985
2024,3062,2024-04-29,52089
2024,3009,2024-04-29,42718.5
2024,3063,2024-04-29,37486.8
2024,3526,2024-05-22,4853
2024,3568,2024-05-24,42000
2024,3430,2024-05-14,209000
2024,3997,2024-06-11,45875.01
2024,5751,2024-08-22,393034
2024,5793,2024-08-26,67344.2
2024,5754,2024-08-22,210000
2024,5570,2024-08-12,162339.32
2024,5795,2024-08-26,56137.2
2024,5794,2024-08-26,17429.4
2024,6121,2024-09-02,131432.41
2024,6299,2024-09-12,131400
2024,6440,2024-09-18,76000
2024,6519,2024-09-23,560000
2024,6360,2024-09-13,18500
2024,7449,2024-11-01,41500
2024,8176,2024-12-02,17079.62
2024,8352,2024-12-06,24236.1
