anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,1114,2026-01-29,6549.71
2026,1053,2026-01-29,10699.19
2026,937,2026-01-29,202.88
2026,732,2026-01-19,540000
2026,178,2026-01-02,60000
2026,946,2026-01-29,157.79
2026,108,2026-01-02,35000
2026,177,2026-01-02,22000
2026,1093,2026-01-29,338.13
2026,1030,2026-01-29,9766.19
2026,1021,2026-01-29,5327.03
2026,103,2026-01-02,600000
2026,870,2026-01-27,2473.2
2026,1119,2026-01-29,32604.36
2026,107,2026-01-02,30000
2026,1042,2026-01-29,15273.54
2026,105,2026-01-02,250000
2026,942,2026-01-29,281.77
2026,272,2026-01-02,200000
2026,934,2026-01-29,22.54
2026,364,2026-01-02,190821.58
2026,1064,2026-01-29,10721.46
2026,933,2026-01-29,191.61
2026,302,2026-01-02,30000
2026,1032,2026-01-29,10630.88
2026,1020,2026-01-29,7343.18
2026,275,2026-01-02,87241.47
2026,292,2026-01-02,59401.44
2026,104,2026-01-02,90000
2026,1022,2026-01-29,11527.64
2026,1056,2026-01-29,16476.81
2026,1100,2026-01-29,1014.39
2026,58,2026-01-02,200000
2026,1090,2026-01-29,6945.22
2026,1041,2026-01-29,6402.51
2026,808,2026-01-21,4751.89
2026,1099,2026-01-29,2705.04
2026,276,2026-01-02,226659.72
2026,1102,2026-01-29,7082.41
2026,258,2026-01-02,299000
2026,1024,2026-01-29,1199.09
2026,1051,2026-01-29,2213.48
2026,250,2026-01-02,87887.71
2026,1048,2026-01-29,653.72
2026,1012,2026-01-29,4190.27
2026,947,2026-01-29,473.38
2026,101,2026-01-02,6000
2026,1105,2026-01-29,8485.02
2026,100,2026-01-02,60000
2026,109,2026-01-02,110000
2026,54,2026-01-02,11700
2026,1060,2026-01-29,3842.73
2026,1010,2026-01-29,6806.31
2026,1055,2026-01-29,21651.66
2026,53,2026-01-02,45000
2026,1110,2026-01-29,1014.39
2026,179,2026-01-02,20000
2026,187,2026-01-02,78542.69
2026,1057,2026-01-29,35913.34
2026,106,2026-01-02,30000
2026,269,2026-01-02,420846.58
2026,1018,2026-01-29,73416.96
2026,1077,2026-01-29,676.26
2026,949,2026-01-29,135.25
2026,1025,2026-01-29,4424.42
2026,249,2026-01-02,935.98
2026,799,2026-01-20,50000
2026,1094,2026-01-29,1690.65
2026,1103,2026-01-29,3922.9
2026,948,2026-01-29,338.13
2026,931,2026-01-29,123.98
2026,1126,2026-01-29,18591.46
2026,1062,2026-01-29,10889.65
2026,1019,2026-01-29,13097.53
2026,923,2026-01-29,518.47
2026,846,2026-01-23,104.13
2026,110,2026-01-02,300000
2026,1112,2026-01-29,6311.12
2026,1563,2026-02-26,24.87
2026,1701,2026-02-26,72781.55
2026,1568,2026-02-26,181.14
2026,1706,2026-02-26,9766.19
2026,1615,2026-02-26,22397.97
2026,1477,2026-02-24,3090.5
2026,1644,2026-02-26,676.26
2026,1479,2026-02-24,21279
2026,1616,2026-02-26,16401.99
2026,1728,2026-02-26,519.9
2026,1672,2026-02-26,2133.66
2026,1554,2026-02-26,60.38
2026,1555,2026-02-26,338.13
2026,1699,2026-02-26,4415.69
2026,1656,2026-02-26,3899.84
2026,1478,2026-02-24,43290
2026,1723,2026-02-26,5356.77
2026,1480,2026-02-24,3291.9
2026,1659,2026-02-26,6476.23
2026,1666,2026-02-26,6379.3
2026,1624,2026-02-26,11350.95
2026,1622,2026-02-26,3955.44
2026,1482,2026-02-24,37241.97
2026,1620,2026-02-26,10645.22
2026,1652,2026-02-26,1352.52
2026,1660,2026-02-26,8485.02
2026,1688,2026-02-26,6287.91
2026,1215,2026-02-04,33924.6
2026,1476,2026-02-24,2172.5
2026,1641,2026-02-26,11111.93
2026,1722,2026-02-26,7133.83
2026,1687,2026-02-26,7360.59
2026,1295,2026-02-09,25998.7
2026,1653,2026-02-26,2705.04
2026,1700,2026-02-26,12997.18
2026,1685,2026-02-26,1014.39
2026,1558,2026-02-26,277.75
2026,1651,2026-02-26,338.13
2026,1358,2026-02-13,2337.44
2026,1636,2026-02-26,14871.59
2026,1721,2026-02-26,275.65
2026,1698,2026-02-26,6815.22
2026,1654,2026-02-26,1014.39
2026,1412,2026-02-20,2473.2
2026,1566,2026-02-26,96.61
2026,1639,2026-02-26,698.8
2026,1692,2026-02-26,32244.91
2026,1702,2026-02-26,12238.14
2026,1707,2026-02-26,9806.92
2026,1725,2026-02-26,1199.09
2026,1704,2026-02-26,4458.23
2026,1601,2026-02-26,6611.92
2026,1481,2026-02-24,9849.1
2026,1378,2026-02-18,1376.9
2026,1465,2026-02-24,12511.2
2026,1648,2026-02-26,6964.39
2026,1617,2026-02-26,34889.23
2026,1695,2026-02-26,18957.82
2026,2082,2026-03-23,2100.06
