anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,679,2024-01-30,176.5
2024,461,2024-01-30,1851.63
2024,680,2024-01-30,1732.4
2024,665,2024-01-30,4313.73
2024,632,2024-01-30,37931.64
2024,1100,2024-02-28,88.25
2024,1084,2024-02-28,2036.48
2024,1050,2024-02-28,42942.34
2024,1019,2024-02-28,359.96
2024,1548,2024-03-27,88.25
2024,1501,2024-03-27,46423.94
2024,1475,2024-03-27,733.62
2024,2041,2024-04-29,25398.37
2024,1986,2024-04-29,88.25
2024,1984,2024-04-29,20000
2024,2009,2024-04-29,2200.86
2024,2479,2024-05-29,20000
2024,2489,2024-05-29,1450.87
2024,2452,2024-05-29,483.62
2024,2481,2024-05-29,88.25
2024,2522,2024-05-29,34359.26
2024,2944,2024-06-27,3582.16
2024,3008,2024-06-27,20000
2024,2995,2024-06-27,88.25
2024,2999,2024-06-27,28531.62
2024,3425,2024-07-30,5384.92
2024,3473,2024-07-31,12784.77
2024,3454,2024-07-31,20000
2024,3502,2024-07-31,14760.99
2024,3083,2024-07-03,22261.45
2024,3660,2024-08-08,676.33
2024,4003,2024-08-29,1194.87
2024,3635,2024-08-08,1143.82
2024,3968,2024-08-29,26482.62
2024,4464,2024-09-27,43583.4
2024,4402,2024-09-27,15526.56
2024,4927,2024-10-30,41642.41
2024,5321,2024-11-28,30000
2024,5347,2024-11-28,16964.77
2024,5280,2024-11-28,1959.42
2024,5300,2024-11-28,4189.69
2024,5678,2024-12-19,66746.58
2024,5659,2024-12-19,5122.64
2024,5675,2024-12-19,2094.88
2024,5446,2024-12-05,23069.66
