anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,726,2024-01-18,249.75
2024,725,2024-01-18,34.98
2024,123,2024-01-02,600000
2024,739,2024-01-19,108.34
2024,722,2024-01-18,121.41
2024,189,2024-01-02,217815
2024,728,2024-01-18,169.5
2024,696,2024-01-17,1497.65
2024,740,2024-01-19,419.9
2024,742,2024-01-19,1424.92
2024,853,2024-01-26,240
2024,727,2024-01-18,96
2024,673,2024-01-15,399.99
2024,738,2024-01-19,277.2
2024,723,2024-01-18,68.7
2024,724,2024-01-18,65.3
2024,67,2024-01-02,26800.13
2024,602,2024-01-05,1199.97
2024,694,2024-01-17,403.47
2024,695,2024-01-17,3443.43
2024,741,2024-01-19,1636.56
2024,1152,2024-02-05,1032.12
2024,1311,2024-02-14,600
2024,1446,2024-02-21,2840.13
2024,1211,2024-02-07,1061
2024,1395,2024-02-19,2419.13
2024,1277,2024-02-12,24616.9
2024,1279,2024-02-12,187.6
2024,1744,2024-02-29,1238.77
2024,1509,2024-02-27,243.75
2024,1400,2024-02-19,477.9
2024,1213,2024-02-07,6
2024,1398,2024-02-19,5155.46
2024,1343,2024-02-16,799.98
2024,1508,2024-02-27,477.9
2024,1212,2024-02-07,829.74
2024,1520,2024-02-28,79.79
2024,1743,2024-02-29,16458.59
2024,1214,2024-02-07,200
2024,1397,2024-02-19,330.86
2024,1278,2024-02-12,600
2024,1742,2024-02-29,3273.07
2024,1507,2024-02-27,477.9
2024,1396,2024-02-19,1429.65
2024,1399,2024-02-19,1420
2024,1428,2024-02-20,159.3
2024,2056,2024-03-15,850.89
2024,1932,2024-03-08,94.27
2024,2145,2024-03-21,1970.32
2024,1836,2024-03-05,63.2
2024,2199,2024-03-26,2626.38
2024,2045,2024-03-14,896.4
2024,2155,2024-03-22,99.64
2024,2144,2024-03-21,9990.42
2024,2202,2024-03-26,367.58
2024,2142,2024-03-21,60
2024,2441,2024-03-28,295.05
2024,2146,2024-03-21,725.89
2024,1933,2024-03-08,94.27
2024,2201,2024-03-26,173.27
2024,1974,2024-03-12,1200
2024,2200,2024-03-26,242.97
2024,1804,2024-03-04,15000
2024,2194,2024-03-26,15224.08
2024,2440,2024-03-28,101.35
2024,1930,2024-03-08,241.47
2024,1975,2024-03-12,1271.62
2024,2195,2024-03-26,96
2024,2044,2024-03-14,1335.95
2024,2393,2024-03-27,279
2024,2198,2024-03-26,288.28
2024,2197,2024-03-26,159.65
2024,1877,2024-03-06,265.96
2024,2012,2024-03-13,421.63
2024,2438,2024-03-28,96.51
2024,2439,2024-03-28,413.58
2024,2437,2024-03-28,2422.61
2024,1973,2024-03-12,90
2024,2442,2024-03-28,795.14
2024,2196,2024-03-26,3000
2024,2147,2024-03-21,172.9
2024,2728,2024-04-16,168.33
2024,2584,2024-04-08,106
