anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1681,2025-02-27,18158.64
2025,1772,2025-02-27,13065.86
2025,1798,2025-02-27,275561.97
2025,2465,2025-03-28,14549.08
2025,2420,2025-03-28,313313.64
2025,2356,2025-03-28,8080.95
2025,2335,2025-03-28,1779.43
2025,3112,2025-04-29,9608.05
2025,3035,2025-04-29,1749.88
2025,3021,2025-04-29,5366.74
2025,3034,2025-04-29,2218.53
2025,3716,2025-05-29,16509.46
2025,3661,2025-05-29,1364
2025,3830,2025-05-29,8474.63
2025,3723,2025-05-29,4971.13
2025,4408,2025-06-26,13993.76
2025,4481,2025-06-26,482.27
2025,4561,2025-06-26,8307.61
2025,4377,2025-06-26,614.19
2025,4469,2025-06-26,8786.82
2025,4437,2025-06-26,2572.36
2025,5303,2025-07-30,4416.55
2025,4704,2025-07-07,13122.09
2025,4706,2025-07-07,1020.2
2025,5159,2025-07-30,25122.7
2025,5781,2025-08-28,7199.84
2025,5997,2025-09-02,685
2025,6449,2025-09-29,6171.75
2025,6486,2025-09-29,10125.47
2025,7192,2025-10-30,5792.08
2025,7025,2025-10-30,2280.96
2025,7589,2025-11-27,6032.31
2025,7523,2025-11-21,7831.8
2025,7704,2025-11-27,5104.31
2025,7969,2025-12-10,2275.71
2025,7928,2025-12-10,142576.84
