anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,162,2025-01-08,51773
2025,184,2025-01-08,44820
2025,181,2025-01-08,1800
2025,238,2025-01-08,7345
2025,101,2025-01-08,327072.64
2025,183,2025-01-08,98420
2025,74,2025-01-08,19339.78
2025,607,2025-01-22,7958.1
2025,251,2025-01-08,5652.75
2025,240,2025-01-08,94500
2025,158,2025-01-08,7890
2025,179,2025-01-08,5517.82
2025,182,2025-01-08,3505
2025,157,2025-01-08,2229.57
2025,226,2025-01-08,1511.8
2025,1544,2025-02-28,5517.82
2025,1546,2025-02-28,2229.57
2025,1548,2025-02-28,1511.8
2025,1547,2025-02-28,7345
2025,1545,2025-02-28,7890
2025,2507,2025-04-29,2994
2025,2124,2025-04-01,6791.76
2025,2203,2025-04-07,19339.78
2025,2130,2025-04-01,8344.24
2025,2508,2025-04-29,3245
2025,2505,2025-04-29,1400
2025,2506,2025-04-29,41880
2025,2142,2025-04-01,10088
2025,2129,2025-04-01,12060
2025,2133,2025-04-01,980
2025,2136,2025-04-01,1150
2025,2137,2025-04-01,604.24
2025,2132,2025-04-01,272
2025,2128,2025-04-01,22188.9
2025,2127,2025-04-01,10853
2025,2449,2025-04-28,10186.47
2025,2134,2025-04-01,1179
2025,2131,2025-04-01,24207.73
2025,2135,2025-04-01,3259.6
2025,2933,2025-05-22,20105
2025,2659,2025-05-05,3195
2025,2932,2025-05-22,11000
2025,3949,2025-07-18,493902.75
2025,4339,2025-08-08,4800
2025,4409,2025-08-13,25810
2025,4933,2025-09-10,15360.3
2025,4994,2025-09-11,800000
2025,5141,2025-09-25,56219.19
2025,4991,2025-09-11,17800
2025,5266,2025-09-30,231271.25
2025,4993,2025-09-11,700000
2025,4992,2025-09-11,65163.98
2025,5267,2025-09-30,77280
2025,4854,2025-09-04,5370
2025,5337,2025-10-02,23380
2025,5615,2025-10-21,9500
2025,5763,2025-10-30,24608.14
2025,5760,2025-10-30,22298.5
2025,5762,2025-10-30,35171.86
2025,5614,2025-10-21,12900
2025,5761,2025-10-30,11000
