anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,817,2025-01-27,51861.87
2025,1337,2025-02-13,5160
2025,1227,2025-02-07,1041.98
2025,1336,2025-02-13,96800
2025,1154,2025-02-03,152990
2025,2301,2025-03-26,18150
2025,2302,2025-03-26,18150
2025,2012,2025-03-06,152990
2025,2176,2025-03-19,31329.85
2025,2910,2025-04-24,1650
2025,2666,2025-04-09,168853.76
2025,3305,2025-05-07,500067
2025,3280,2025-05-06,10800
2025,3281,2025-05-06,195020
2025,3971,2025-06-09,25804
2025,3972,2025-06-09,8072
2025,4230,2025-06-25,5346.87
2025,3958,2025-06-05,58589.67
2025,3974,2025-06-09,84930
2025,4875,2025-07-11,1800
2025,5211,2025-07-30,218433.98
2025,4934,2025-07-15,377025
2025,4932,2025-07-15,189670.02
2025,5967,2025-08-29,122411.87
2025,5554,2025-08-18,2199000
2025,5668,2025-08-22,105990
2025,5472,2025-08-12,67745.04
2025,5402,2025-08-05,1017970
2025,5576,2025-08-20,27294.35
2025,5526,2025-08-14,122670.71
2025,5525,2025-08-14,74729.29
2025,6312,2025-09-18,4740
2025,6314,2025-09-18,62300
2025,6238,2025-09-15,255825.66
2025,6659,2025-09-30,20887.58
2025,6315,2025-09-18,157440
2025,6313,2025-09-18,258570
2025,6681,2025-10-06,900000
2025,7814,2025-12-02,12714.34
