anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,919,2025-01-30,6806.6
2025,887,2025-01-30,11665.62
2025,1002,2025-01-30,6313764.77
2025,49,2025-01-02,4500000
2025,988,2025-01-30,440522.28
2025,922,2025-01-30,22478.33
2025,1005,2025-01-30,34395.38
2025,536,2025-01-13,11901.28
2025,920,2025-01-30,8797.91
2025,1726,2025-02-27,7769202.23
2025,1738,2025-02-27,24389.97
2025,1687,2025-02-27,412.28
2025,1190,2025-02-05,46.29
2025,1686,2025-02-27,65230.35
2025,1180,2025-02-05,1389.37
2025,1691,2025-02-27,69378.45
2025,1724,2025-02-27,34601.51
2025,1659,2025-02-27,6875.53
2025,2022,2025-03-07,281.62
2025,2395,2025-03-28,2089.8
2025,2387,2025-03-28,35454.9
2025,1910,2025-03-03,5296
2025,2057,2025-03-11,21062.9
2025,2400,2025-03-28,12239.46
2025,2346,2025-03-28,35664.5
2025,2350,2025-03-28,39271.7
2025,2058,2025-03-11,219.42
2025,1967,2025-03-06,1310.46
2025,2385,2025-03-28,8578387.3
2025,2328,2025-03-28,3207.53
2025,3060,2025-04-29,4027.06
2025,3025,2025-04-29,46237.04
2025,3047,2025-04-29,50274.38
2025,3029,2025-04-29,554.58
2025,3008,2025-04-29,8688.78
2025,3051,2025-04-29,8359447.6
2025,3028,2025-04-29,36013.92
2025,3656,2025-05-29,8586.8
2025,3737,2025-05-29,85214.93
2025,3682,2025-05-29,4764.86
2025,3738,2025-05-29,9225221.37
2025,3365,2025-05-12,79.64
2025,3681,2025-05-29,50680.35
2025,3211,2025-05-05,2373.46
2025,3749,2025-05-29,4135.31
2025,4497,2025-06-26,12881.01
2025,4292,2025-06-26,391.69
2025,4462,2025-06-26,15.58
2025,4490,2025-06-26,102563.16
2025,4315,2025-06-26,830.23
2025,4421,2025-06-26,9568.55
2025,3981,2025-06-09,342.69
2025,3982,2025-06-09,7036.34
2025,4460,2025-06-26,1223.32
2025,4483,2025-06-26,9337339.59
2025,4458,2025-06-26,5358.17
2025,4280,2025-06-26,381360.17
2025,4265,2025-06-26,186639.9
2025,4270,2025-06-26,153065.85
2025,4282,2025-06-26,643.39
2025,4304,2025-06-26,2614.29
2025,4463,2025-06-26,70391.1
2025,4305,2025-06-26,561916.92
2025,4464,2025-06-26,5720.3
2025,4287,2025-06-26,421499.81
2025,5361,2025-07-31,1190.06
2025,4702,2025-07-07,5950.26
2025,5194,2025-07-30,89939.48
2025,4881,2025-07-14,408.1
2025,4747,2025-07-10,4288752.52
2025,4746,2025-07-10,40138.17
2025,5138,2025-07-30,25837.65
2025,5173,2025-07-30,52430.89
2025,5359,2025-07-31,1126.44
2025,4703,2025-07-07,5474.22
2025,5203,2025-07-30,12668.05
2025,5171,2025-07-30,6651.56
2025,5196,2025-07-30,9441428.47
2025,5367,2025-08-01,41694.49
2025,5823,2025-08-28,90148.88
2025,5814,2025-08-28,9559558.9
2025,5794,2025-08-28,58257.44
2025,5820,2025-08-28,12399.46
2025,5767,2025-08-28,2534.1
2025,5792,2025-08-28,12556.69
2025,6501,2025-09-29,85202.48
2025,6512,2025-09-29,3507.87
2025,6440,2025-09-29,3185.94
2025,6466,2025-09-29,12031.31
2025,5990,2025-09-02,4891.75
2025,6465,2025-09-29,5866.98
2025,6469,2025-09-29,44471.77
2025,6499,2025-09-29,9635785.18
2025,7078,2025-10-30,3786.65
2025,7048,2025-10-30,98119.78
2025,7046,2025-10-30,945.81
2025,6783,2025-10-10,416258.39
2025,7067,2025-10-30,89489.36
2025,7022,2025-10-30,1029.01
2025,7066,2025-10-30,9540473.16
2025,7045,2025-10-30,54714.23
2025,7609,2025-11-27,419521.43
2025,7639,2025-11-27,102620.45
2025,7605,2025-11-27,50236.95
2025,7653,2025-11-27,2000000
2025,7638,2025-11-27,7558395.36
2025,7650,2025-11-27,2064.14
2025,7580,2025-11-27,17009.1
2025,7600,2025-11-27,61660.81
2025,8244,2025-12-18,33226.35
2025,8237,2025-12-18,321220.72
2025,7852,2025-12-08,2380.1
2025,8094,2025-12-18,94060.92
2025,7908,2025-12-10,4657771.11
2025,8248,2025-12-18,935208.15
2025,8234,2025-12-18,27822.96
2025,8257,2025-12-18,275101.06
2025,8055,2025-12-18,31028.07
2025,7854,2025-12-08,336675.54
2025,8053,2025-12-18,1000000
2025,8021,2025-12-17,500000
2025,8028,2025-12-18,191823.58
2025,8239,2025-12-18,215.41
2025,8251,2025-12-18,8024.63
2025,8092,2025-12-18,5000000
2025,8033,2025-12-18,1592850.06
2025,8227,2025-12-18,11017.57
2025,8102,2025-12-18,2906142.63
2025,7906,2025-12-10,34093.64
2025,7904,2025-12-10,6503.85
2025,7963,2025-12-10,25538.88
2025,8054,2025-12-18,1620894.02
2025,8258,2025-12-18,4845.28
2025,8108,2025-12-18,17593.91
