anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1046,2024-01-30,96196.79
2024,900,2024-01-30,1562.29
2024,1035,2024-01-30,10064.95
2024,1707,2024-02-28,5489.38
2024,1613,2024-02-28,99779.64
2024,1610,2024-02-28,9709
2024,1562,2024-02-28,2135.41
2024,2423,2024-03-27,111276.62
2024,2336,2024-03-27,1880.55
2024,2987,2024-04-29,1930.02
2024,3029,2024-04-29,3205.67
2024,2680,2024-04-15,94363.82
2024,3180,2024-04-29,105628.44
2024,3778,2024-05-29,4456.43
2024,3650,2024-05-29,1579.19
2024,3812,2024-05-29,105432.03
2024,3676,2024-05-29,974.93
2024,3638,2024-05-29,684.46
2024,3651,2024-05-29,23.76
2024,4530,2024-06-27,108739.08
2024,4422,2024-06-27,379.27
2024,5208,2024-07-31,1178.29
2024,4659,2024-07-03,47287.83
2024,5151,2024-07-30,806.84
2024,5284,2024-07-31,95318.3
2024,5507,2024-08-08,65.96
2024,6017,2024-08-29,101611.64
2024,6057,2024-08-29,58.08
2024,5926,2024-08-29,217.68
2024,5493,2024-08-08,2540.92
2024,6741,2024-09-27,653.04
2024,6589,2024-09-27,130.61
2024,6712,2024-09-27,97531.43
2024,7388,2024-10-30,391.82
2024,7305,2024-10-30,37931.71
2024,7402,2024-10-30,91636.51
2024,7985,2024-11-28,1175.45
2024,7660,2024-11-13,2224.69
2024,8093,2024-11-28,98750.7
2024,8795,2024-12-30,21153.65
2024,8675,2024-12-19,98825.17
2024,8680,2024-12-19,1823.58
2024,8258,2024-12-05,45498.38
2024,8557,2024-12-19,10721.71
