anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,766,2025-01-30,1942.36
2025,839,2025-01-30,42975.12
2025,1516,2025-02-27,40564.33
2025,1475,2025-02-27,3395.82
2025,2076,2025-03-28,44024.28
2025,2045,2025-03-28,522.43
2025,2533,2025-04-29,21603.83
2025,2528,2025-04-29,25103.06
2025,3059,2025-05-29,31668.42
2025,3120,2025-05-29,25025.73
2025,3566,2025-06-26,3449.25
2025,3634,2025-06-26,43290.87
2025,3542,2025-06-26,2024.01
2025,4193,2025-07-30,32519.61
2025,4156,2025-07-30,10953.61
2025,3889,2025-07-14,809.32
2025,3814,2025-07-10,25852.07
2025,4105,2025-07-30,757.32
2025,4700,2025-08-28,1666.11
2025,4728,2025-08-28,40307.29
2025,5245,2025-09-29,41956.94
2025,5988,2025-10-30,41632.72
2025,6448,2025-11-27,41854.07
2025,6830,2025-12-18,38769.04
2025,6763,2025-12-18,5733.34
2025,6782,2025-12-18,3225.01
2025,6598,2025-12-10,19500.51
