anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,2523,2025-03-28,4131.3
2025,2775,2025-04-15,50880
2025,3873,2025-05-30,30000
2025,3371,2025-05-12,149.37
2025,3626,2025-05-27,937.84
2025,3899,2025-06-02,149.37
2025,5072,2025-07-24,102.58
2025,4645,2025-07-01,46537.96
2025,4644,2025-07-01,29583.05
2025,5412,2025-08-05,887.08
2025,5379,2025-08-01,156.19
2025,5512,2025-08-13,4400
2025,5435,2025-08-07,102.58
2025,5509,2025-08-13,1406.5
2025,6210,2025-09-11,2000
2025,6705,2025-10-08,156.19
2025,6995,2025-10-27,1007.22
2025,6996,2025-10-27,640.26
2025,6678,2025-10-03,149.37
