anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,53,2025-01-02,6000000
2025,52,2025-01-02,13000000
2025,1506,2025-02-20,109340.12
2025,2999,2025-04-29,419786.55
2025,4217,2025-06-24,850125.2
2025,5543,2025-08-15,4910000
2025,6673,2025-10-02,777305.53
2025,6694,2025-10-07,1317784.68
2025,7775,2025-11-28,1244511.62
2025,7608,2025-11-27,769508.12
2025,7774,2025-11-28,760220.95
2025,7607,2025-11-27,1317818.92
2025,8022,2025-12-17,800000
2025,8023,2025-12-17,1320000
2025,8226,2025-12-18,100000
