anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1685,2025-02-27,2004.81
2025,1759,2025-02-27,93147.67
2025,1808,2025-02-27,522.43
2025,2339,2025-03-28,2430.42
2025,2358,2025-03-28,4266.53
2025,2481,2025-03-28,2945.7
2025,2407,2025-03-28,98077.46
2025,3091,2025-04-29,5658.19
2025,3118,2025-04-29,89959.47
2025,3836,2025-05-29,158909.16
2025,3671,2025-05-29,2933.11
2025,3782,2025-05-29,1375.88
2025,4599,2025-06-26,2361.49
2025,4399,2025-06-26,6631.92
2025,4567,2025-06-26,156467.86
2025,4445,2025-06-26,5459.97
2025,4381,2025-06-26,191.78
2025,5299,2025-07-30,17982.89
2025,5142,2025-07-30,15007.44
2025,4773,2025-07-10,66375.82
2025,5802,2025-08-28,6098.2
2025,5800,2025-08-28,186.72
2025,5874,2025-08-28,3812.38
2025,6458,2025-09-29,2161.87
2025,5999,2025-09-02,1508.84
2025,6552,2025-09-29,1085.16
2025,6439,2025-09-29,556.47
2025,7031,2025-10-30,2255.06
2025,7100,2025-10-30,170855.5
2025,7196,2025-10-30,600.07
2025,7713,2025-11-27,169335.02
2025,7590,2025-11-27,9029.32
2025,7695,2025-11-27,977.08
2025,7940,2025-12-10,95286.73
2025,8068,2025-12-18,34173.17
