anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,843,2026-01-23,6669.97
2026,913,2026-01-29,27553.94
2026,83,2026-01-02,39571.2
2026,842,2026-01-23,15369.08
2026,59,2026-01-02,26988.42
2026,61,2026-01-02,100000
2026,822,2026-01-22,7445.2
2026,235,2026-01-02,61469.61
2026,70,2026-01-02,46000
2026,1074,2026-01-29,142467.9
2026,1080,2026-01-29,85884.45
2026,1125,2026-01-29,305529.09
2026,1138,2026-01-30,14585.22
2026,69,2026-01-02,15000
2026,820,2026-01-22,572.29
2026,1066,2026-01-29,145504.61
2026,821,2026-01-22,3815.25
2026,1108,2026-01-29,912.49
2026,915,2026-01-29,53900.45
2026,1121,2026-01-29,334554.7
2026,497,2026-01-12,26412.8
2026,465,2026-01-09,5823.29
2026,1034,2026-01-29,82993.9
2026,844,2026-01-23,23964.15
2026,819,2026-01-22,2252.81
2026,705,2026-01-16,22675.1
2026,1490,2026-02-24,9316.18
2026,1715,2026-02-26,85884.45
2026,1708,2026-02-26,143380.39
2026,1312,2026-02-10,102044.19
2026,1727,2026-02-26,149827.75
2026,1668,2026-02-26,305529.09
2026,1306,2026-02-10,27606.8
2026,1150,2026-02-02,22818.31
2026,1640,2026-02-26,334554.7
2026,1742,2026-02-27,189.64
2026,1595,2026-02-26,4130.63
2026,1162,2026-02-03,170.27
2026,1299,2026-02-10,9309.97
2026,1343,2026-02-12,32905.28
2026,1305,2026-02-10,5766.78
2026,1163,2026-02-03,0.08
2026,1676,2026-02-26,82458.03
2026,1748,2026-03-02,1253.31
2026,1747,2026-03-02,13964.25
2026,2184,2026-03-27,12363.49
2026,2467,2026-03-30,146702.9
2026,2166,2026-03-26,362.01
2026,2060,2026-03-20,1701.89
2026,2405,2026-03-30,81383.02
2026,1754,2026-03-02,50000
2026,1749,2026-03-02,10811.17
2026,2090,2026-03-23,16034.9
2026,2118,2026-03-25,9226.22
2026,2428,2026-03-30,85884.45
2026,1840,2026-03-05,5713.26
2026,1839,2026-03-05,1928.54
2026,2113,2026-03-24,832.54
2026,1841,2026-03-05,1713.98
2026,1838,2026-03-05,528.65
2026,2348,2026-03-30,4388.76
2026,1836,2026-03-05,5286.46
2026,1944,2026-03-13,13948.92
2026,2431,2026-03-30,912.49
2026,2469,2026-03-30,142467.9
2026,2128,2026-03-25,21537.56
2026,2357,2026-03-30,305529.09
2026,1815,2026-03-04,100941.66
2026,2362,2026-03-30,334554.7
2026,2525,2026-04-01,30000
2026,2866,2026-04-14,4222.74
2026,2830,2026-04-13,17359.69
2026,2527,2026-04-01,14011.31
2026,2667,2026-04-08,173234.23
2026,2865,2026-04-14,4103.96
2026,2896,2026-04-16,44110.85
