anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,2441,2025-03-28,3526.42
2025,2434,2025-03-28,6856.93
2025,2334,2025-03-28,3526.36
2025,3066,2025-04-29,1528.12
2025,3019,2025-04-29,1202.25
2025,3133,2025-04-29,8855.23
2025,3766,2025-05-29,178.62
2025,3808,2025-05-29,10744.68
2025,4528,2025-06-26,10923.3
2025,4321,2025-06-26,460.47
2025,4344,2025-06-26,108.89
2025,5227,2025-07-30,10923.3
2025,4767,2025-07-10,2679.3
2025,5942,2025-08-28,9672.96
2025,5905,2025-08-28,1250.34
2025,5779,2025-08-28,714.48
2025,6530,2025-09-29,893.1
2025,6626,2025-09-29,10030.2
2025,7134,2025-10-30,10923.3
2025,7748,2025-11-27,10923.3
2025,8120,2025-12-18,10923.3
2025,7952,2025-12-10,8244
