anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,740,2023-02-08,2028.1
2023,739,2023-02-08,1995.18
2023,737,2023-02-08,5870
2023,738,2023-02-08,2550.5
2023,1707,2023-04-26,3160
2023,1677,2023-04-26,21057.11
2023,1681,2023-04-26,22242
2023,1678,2023-04-26,3587.21
2023,1708,2023-04-26,7699.51
2023,1688,2023-04-26,1120
2023,1709,2023-04-26,6907.5
2023,1690,2023-04-26,229.8
2023,1704,2023-04-26,11065.7
2023,1683,2023-04-26,284.5
2023,1702,2023-04-26,709.75
2023,1605,2023-04-20,33272
2023,1711,2023-04-26,12041.84
2023,1676,2023-04-26,6696.53
2023,1687,2023-04-26,230
2023,1673,2023-04-26,4444.05
2023,1706,2023-04-26,2525
2023,1682,2023-04-26,13448
2023,1710,2023-04-26,6774.91
2023,1674,2023-04-26,4300
2023,1671,2023-04-26,360
2023,1449,2023-04-04,29549
2023,1680,2023-04-26,3191.16
2023,1689,2023-04-26,2883.96
2023,1712,2023-04-26,63464.08
2023,1684,2023-04-26,2293.97
2023,1685,2023-04-26,3454.54
2023,1672,2023-04-26,9224.19
2023,1703,2023-04-26,6925.74
2023,1675,2023-04-26,3996
2023,1705,2023-04-26,3515.97
2023,1686,2023-04-26,1194
2023,2209,2023-05-31,31547
2023,2592,2023-06-30,5586.35
2023,2394,2023-06-16,24708
2023,2589,2023-06-30,2525
2023,2578,2023-06-30,1087.5
2023,2585,2023-06-30,39419.54
2023,2590,2023-06-30,393.9
2023,2573,2023-06-30,3799.7
2023,2588,2023-06-30,4589.9
2023,2580,2023-06-30,4300
2023,2584,2023-06-30,2560.5
2023,2581,2023-06-30,4165.5
2023,2586,2023-06-30,13521.2
2023,2587,2023-06-30,183
2023,2582,2023-06-30,12582.5
2023,2583,2023-06-30,9047.95
2023,2579,2023-06-30,8814.4
2023,2591,2023-06-30,3160
2023,3014,2023-07-31,10000
2023,2846,2023-07-19,14671
2023,2765,2023-07-13,2494
2023,3247,2023-08-21,2600
2023,3279,2023-08-21,52411.15
2023,3276,2023-08-21,5711.9
2023,3273,2023-08-21,344.7
2023,3274,2023-08-21,948.1
2023,3266,2023-08-21,2594
2023,3258,2023-08-21,360
2023,3286,2023-08-21,8332.05
2023,3283,2023-08-21,1515
2023,3259,2023-08-21,1707.4
2023,3156,2023-08-15,17346
2023,3284,2023-08-21,490
2023,3277,2023-08-21,5250
2023,3282,2023-08-21,249
2023,3278,2023-08-21,12962.5
2023,3281,2023-08-21,29160.5
2023,3264,2023-08-21,2732.2
2023,3263,2023-08-21,389.7
2023,3265,2023-08-21,1530
2023,3280,2023-08-21,19366.3
2023,3275,2023-08-21,1363
2023,3257,2023-08-21,1998
2023,3285,2023-08-21,2150
2023,4137,2023-10-27,5505
2023,3982,2023-10-18,12752.5
2023,4297,2023-11-08,19227.7
2023,4298,2023-11-08,4887.6
2023,4305,2023-11-08,4195
2023,4295,2023-11-08,2704.8
2023,4281,2023-11-08,360
2023,4294,2023-11-08,22450.45
2023,4278,2023-11-08,2283.72
2023,4296,2023-11-08,3266.4
2023,4300,2023-11-08,1894
2023,4279,2023-11-08,6450
2023,4299,2023-11-08,40029.1
2023,4280,2023-11-08,1998
2023,4304,2023-11-08,208.95
2023,4303,2023-11-08,20619.7
2023,4489,2023-11-23,5175
2023,4749,2023-12-05,14740.5
