anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,552,2023-01-30,52898.27
2023,986,2023-02-27,1117.06
2023,958,2023-02-27,48496.83
2023,1094,2023-03-07,1034.43
2023,1372,2023-03-30,1149.44
2023,1096,2023-03-07,3884.63
2023,1385,2023-03-30,3844.25
2023,1354,2023-03-30,44352.25
2023,1092,2023-03-07,486.93
2023,1730,2023-04-27,42156.27
2023,1612,2023-04-20,3592.82
2023,1608,2023-04-20,658.77
2023,1610,2023-04-20,892.9
2023,2169,2023-05-31,1566.74
2023,2188,2023-05-31,6350.58
2023,2154,2023-05-31,47518.1
2023,2515,2023-06-29,41050.58
2023,2532,2023-06-29,1192.89
2023,2549,2023-06-29,4162.68
2023,2941,2023-07-27,18571.3
2023,2979,2023-07-27,43838
2023,2925,2023-07-27,30890.36
2023,2661,2023-07-06,3274.11
2023,2960,2023-07-27,10194.07
2023,3360,2023-08-30,4116.46
2023,3740,2023-09-28,2538.32
2023,4165,2023-10-27,2538.32
2023,4597,2023-11-29,2538.32
2023,4771,2023-12-07,1581.6
2023,5006,2023-12-22,2538.32
