anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,816,2024-01-25,702.16
2024,335,2024-01-03,30000
2024,382,2024-01-03,5000
2024,815,2024-01-25,21558.16
2024,1314,2024-02-14,58615.81
2024,1131,2024-02-02,156.19
2024,1130,2024-02-02,104.13
2024,1654,2024-02-28,548.29
2024,1818,2024-03-04,5900
2024,2063,2024-03-15,511.11
2024,1817,2024-03-04,7000
2024,2169,2024-03-25,81.99
2024,3121,2024-04-29,289.82
2024,3276,2024-05-06,22666.21
2024,3275,2024-05-06,47522.76
2024,3770,2024-05-29,144.91
2024,3277,2024-05-06,4096.8
2024,3716,2024-05-29,10000
2024,4547,2024-06-27,144.91
2024,4759,2024-07-08,4845.4
2024,4758,2024-07-08,19956.48
2024,4760,2024-07-08,16067.47
2024,4761,2024-07-08,9352.95
2024,5551,2024-08-09,2150
2024,5655,2024-08-16,90558.07
2024,5766,2024-08-22,43437.7
2024,5811,2024-08-27,7000
2024,6039,2024-08-29,162.3
2024,5813,2024-08-27,540
2024,5810,2024-08-27,490.8
2024,5814,2024-08-27,4364
2024,5812,2024-08-27,6000
2024,6159,2024-09-04,23036.6
2024,6160,2024-09-04,3980.93
2024,6430,2024-09-17,104.13
2024,6425,2024-09-17,3750
2024,6763,2024-09-30,35954.52
2024,6165,2024-09-04,5605
2024,6673,2024-09-27,162.3
2024,6793,2024-10-01,3230
2024,6816,2024-10-02,2150
2024,6792,2024-10-01,4990.34
2024,7107,2024-10-22,262.92
2024,7330,2024-10-30,162.3
2024,7109,2024-10-22,104.13
2024,6791,2024-10-01,20839.57
2024,7756,2024-11-18,2724.8
2024,7462,2024-11-01,208.26
2024,7463,2024-11-01,208.26
2024,7755,2024-11-18,25935.32
2024,8033,2024-11-28,3000
2024,8052,2024-11-28,162.3
2024,8627,2024-12-19,162.3
2024,8767,2024-12-27,104.13
2024,8772,2024-12-27,104.13
2024,8768,2024-12-27,104.13
2024,8308,2024-12-05,1370.6
2024,8224,2024-12-03,16935.1
2024,8214,2024-12-03,4500
2024,8307,2024-12-05,20074.31
