anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,962,2023-01-30,552728.57
2023,990,2023-01-30,64986.12
2023,952,2023-01-30,133852.39
2023,966,2023-01-30,223180.11
2023,1488,2023-02-27,223180.11
2023,1542,2023-02-27,64986.12
2023,1524,2023-02-27,550624.59
2023,1466,2023-02-27,570.77
2023,1479,2023-02-27,140890.13
2023,1518,2023-02-27,503.56
2023,2116,2023-03-30,223180.11
2023,2176,2023-03-30,64986.12
2023,2111,2023-03-30,135508.33
2023,2156,2023-03-30,546313.18
2023,2704,2023-04-27,217242.54
2023,2691,2023-04-27,141714.51
2023,2701,2023-04-27,546313.18
2023,2725,2023-04-27,64986.12
2023,3501,2023-05-31,104511.67
2023,3469,2023-05-31,162634.71
2023,3476,2023-05-31,1038788.55
2023,3479,2023-05-31,241946.33
2023,4208,2023-06-29,220648.4
2023,4249,2023-06-29,521.88
2023,4202,2023-06-29,162371.42
2023,4270,2023-06-29,75354.4
2023,4188,2023-06-29,95.13
2023,4251,2023-06-29,641922.16
2023,4847,2023-07-27,145071.76
2023,4441,2023-07-06,320957.57
2023,4893,2023-07-27,633916.57
2023,4895,2023-07-27,4802.35
2023,4913,2023-07-27,75354.4
2023,4431,2023-07-06,72463.88
2023,4452,2023-07-06,109121.56
2023,4891,2023-07-27,576.52
2023,4855,2023-07-27,217745.36
2023,4450,2023-07-06,37677.22
2023,4884,2023-07-27,2115.74
2023,4430,2023-07-06,2169.85
2023,5547,2023-08-30,624155.61
2023,5550,2023-08-30,218248.87
2023,5539,2023-08-30,133449.42
2023,5549,2023-08-30,4802.35
2023,5564,2023-08-30,75354.4
2023,6193,2023-09-28,4802.35
2023,6194,2023-09-28,218248.87
2023,6198,2023-09-28,75354.4
2023,6186,2023-09-28,133449.42
2023,6192,2023-09-28,612439.1
2023,6770,2023-10-27,75354.4
2023,6756,2023-10-27,612439.1
2023,6748,2023-10-27,133449.42
2023,6760,2023-10-27,4802.35
2023,6761,2023-10-27,218248.87
2023,7436,2023-11-29,31626.55
2023,7512,2023-11-29,106625.27
2023,7445,2023-11-29,150120.64
2023,7511,2023-11-29,43495.37
2023,7446,2023-11-29,218248.92
2023,7443,2023-11-29,612448.6
2023,7465,2023-11-29,31859.05
2023,8057,2023-12-22,106625.27
2023,8000,2023-12-22,31626.56
2023,7664,2023-12-07,39213.32
2023,8008,2023-12-22,612448.6
2023,7694,2023-12-07,1873.26
2023,7665,2023-12-07,52153.19
2023,7688,2023-12-07,105190.1
2023,7676,2023-12-07,290740.92
2023,7691,2023-12-07,31100.56
2023,7663,2023-12-07,20748.56
2023,7696,2023-12-07,5818.15
2023,7685,2023-12-07,34837.35
2023,8011,2023-12-22,43495.37
2023,8012,2023-12-22,218248.92
2023,8031,2023-12-22,31859.05
