anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,1037,2023-01-31,20701.02
2023,926,2023-01-30,74263.03
2023,487,2023-01-13,4000000
2023,1509,2023-02-27,82605.5
2023,1244,2023-02-13,62.87
2023,1565,2023-02-28,19843.52
2023,1465,2023-02-27,26017.26
2023,1508,2023-02-27,1147.71
2023,1559,2023-02-27,7506.64
2023,1177,2023-02-10,5679.77
2023,2232,2023-03-31,20062.62
2023,2194,2023-03-30,3753.32
2023,2139,2023-03-30,78842.96
2023,1658,2023-03-07,7856.74
2023,2299,2023-04-05,11422.85
2023,2815,2023-04-28,20357.14
2023,2670,2023-04-27,88025.51
2023,3536,2023-05-31,22049.31
2023,3444,2023-05-31,101094.93
2023,3037,2023-05-11,11865.99
2023,3754,2023-06-12,14627.04
2023,4230,2023-06-29,100422.2
2023,3591,2023-06-02,176000
2023,4427,2023-07-06,47379.64
2023,4877,2023-07-27,96684.8
2023,4554,2023-07-10,13604.52
2023,5514,2023-08-30,107092.89
2023,5581,2023-08-30,4222.55
2023,5160,2023-08-09,13909.01
2023,5831,2023-09-13,13847.4
2023,6163,2023-09-28,120748.96
2023,5935,2023-09-18,500000
2023,6341,2023-10-05,14174.32
2023,6726,2023-10-27,117049.8
2023,6808,2023-10-27,3008.63
2023,7413,2023-11-29,124466.2
2023,7069,2023-11-13,13858.15
2023,7535,2023-11-29,4401.72
2023,8079,2023-12-27,3241.53
2023,7659,2023-12-07,50583.09
2023,7930,2023-12-21,3018.4
2023,7635,2023-12-07,14099.22
2023,8096,2023-12-29,98283.42
2023,8078,2023-12-27,13159.98
2023,8080,2023-12-27,11000.12
2023,7971,2023-12-22,125577.42
2023,7731,2023-12-12,52773.88
