anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,160,2023-01-09,300000
2023,727,2023-02-06,2000
2023,707,2023-02-03,43739.05
2023,843,2023-02-20,3099
2023,844,2023-02-20,26501.88
2023,769,2023-02-09,421234.56
2023,756,2023-02-09,300000
2023,728,2023-02-06,18000
2023,1214,2023-03-16,62000
2023,1065,2023-03-03,10000
2023,1168,2023-03-10,300000
2023,1064,2023-03-03,18000
2023,1212,2023-03-16,26368.5
2023,1215,2023-03-16,140637
2023,1213,2023-03-16,5000
2023,1258,2023-03-22,17000
2023,1259,2023-03-22,18000
2023,1654,2023-04-25,4635.84
2023,1601,2023-04-19,3984
2023,1492,2023-04-11,36470
2023,1493,2023-04-11,162785.64
2023,1656,2023-04-25,344526.42
2023,1491,2023-04-11,31642.2
2023,1602,2023-04-19,31250
2023,1603,2023-04-19,224389.43
2023,1600,2023-04-19,1412.5
2023,1934,2023-05-12,59836.9
2023,2023,2023-05-17,18000
2023,1933,2023-05-12,21094.8
2023,1824,2023-05-03,7000
2023,2024,2023-05-17,2000
2023,1935,2023-05-12,142394.96
2023,2027,2023-05-18,18000
2023,1825,2023-05-03,18000
2023,2028,2023-05-18,4000
2023,2106,2023-05-25,40300
2023,2107,2023-05-25,432892.11
2023,2105,2023-05-25,2119.6
2023,2002,2023-05-16,49600
2023,2283,2023-06-07,43231.8
2023,2457,2023-06-23,78515.8
2023,2284,2023-06-07,46152.9
2023,2282,2023-06-07,93000
2023,2456,2023-06-23,8486.5
2023,2363,2023-06-16,18000
2023,2361,2023-06-16,4000
2023,2281,2023-06-07,255537.93
2023,2877,2023-07-21,26345.09
2023,2749,2023-07-13,200000
2023,2878,2023-07-21,63412.5
2023,2829,2023-07-17,11000
2023,2879,2023-07-21,91435.67
2023,2712,2023-07-10,186000
2023,2880,2023-07-21,1332.72
2023,2839,2023-07-19,20000
2023,2711,2023-07-10,104703.85
2023,2837,2023-07-19,18000
2023,2838,2023-07-19,23940
2023,2714,2023-07-10,32979.6
2023,2715,2023-07-10,10547.4
2023,3065,2023-08-08,13354.16
2023,3066,2023-08-08,104371.8
2023,3406,2023-08-31,20000
2023,3409,2023-08-31,200000
2023,3298,2023-08-22,137381.69
2023,3064,2023-08-08,41298.7
2023,3297,2023-08-22,41819
2023,3407,2023-08-31,18000
2023,3408,2023-08-31,14000
2023,3296,2023-08-22,46568.22
2023,3536,2023-09-15,11346.84
2023,3535,2023-09-15,31228.33
2023,3808,2023-09-29,18000
2023,3806,2023-09-29,2887.5
2023,3805,2023-09-29,20000
2023,3534,2023-09-15,34003.22
2023,3807,2023-09-29,14000
2023,3977,2023-10-17,28568.81
2023,3848,2023-10-04,68400.4
2023,3849,2023-10-04,6795.6
2023,4197,2023-10-27,14000
2023,3976,2023-10-17,3270
2023,3975,2023-10-17,997.8
2023,4053,2023-10-23,3045
2023,3909,2023-10-09,200000
2023,3978,2023-10-17,161081.6
2023,4196,2023-10-27,20000
2023,4198,2023-10-27,18000
2023,4342,2023-11-08,5100
2023,4530,2023-11-23,28627
2023,4340,2023-11-08,40493.76
2023,4250,2023-11-01,99458.4
2023,4343,2023-11-08,25807.28
2023,4529,2023-11-23,615601.39
2023,4528,2023-11-23,13325.75
2023,4341,2023-11-08,26007.67
2023,4531,2023-11-23,529.14
2023,4344,2023-11-08,106099.5
2023,4796,2023-12-07,111555
2023,4797,2023-12-07,23385
2023,4764,2023-12-06,30772
2023,4798,2023-12-07,134940
2023,4763,2023-12-06,27856.25
2023,4795,2023-12-07,297759.91
2023,4762,2023-12-06,243405.38
2023,4766,2023-12-06,1909.6
2023,4765,2023-12-06,2639.4
