anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,939,2024-01-30,7235.34
2024,1049,2024-01-30,61896.47
2024,1081,2024-01-30,13291.69
2024,942,2024-01-30,2310.91
2024,1669,2024-02-28,109759.85
2024,2400,2024-03-27,84732.33
2024,3169,2024-04-29,86751.51
2024,3677,2024-05-29,11175.04
2024,3793,2024-05-29,90028.66
2024,4402,2024-06-27,15978.08
2024,4393,2024-06-27,14190.48
2024,4426,2024-06-27,11944.28
2024,4539,2024-06-27,87954.17
2024,4511,2024-06-27,10412.8
2024,5143,2024-07-30,4930.43
2024,4672,2024-07-03,39585.58
2024,5270,2024-07-31,64267.72
2024,5223,2024-07-31,16798.48
2024,5927,2024-08-29,1028.1
2024,6093,2024-08-29,82948.03
2024,5487,2024-08-08,718.62
2024,5523,2024-08-08,2155.45
2024,6067,2024-08-29,1541.17
2024,6668,2024-09-27,156.73
2024,6593,2024-09-27,2950.52
2024,6723,2024-09-27,82758.51
2024,7417,2024-10-30,590.1
2024,7357,2024-10-30,84043.41
2024,7244,2024-10-30,9340.94
2024,8127,2024-11-28,71502.65
2024,8126,2024-11-28,14954.33
2024,8676,2024-12-19,391.82
2024,8562,2024-12-19,11442.32
2024,8631,2024-12-19,2005.44
2024,8284,2024-12-05,41591.52
2024,8711,2024-12-19,90969.69
