anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1083,2024-01-30,63826.35
2024,901,2024-01-30,2249.8
2024,891,2024-01-30,9297.95
2024,1091,2024-01-30,39985.85
2024,893,2024-01-30,12736.62
2024,1023,2024-01-30,53503.41
2024,934,2024-01-30,16780.33
2024,1008,2024-01-30,32812.74
2024,1048,2024-01-30,83442.14
2024,1073,2024-01-30,15908.67
2024,1643,2024-02-28,8607.17
2024,1601,2024-02-28,74516.74
2024,1615,2024-02-28,97087.92
2024,1551,2024-02-28,7782.44
2024,1649,2024-02-28,4218.73
2024,1641,2024-02-28,82555.8
2024,1675,2024-02-28,13352.73
2024,2367,2024-03-27,4709.24
2024,2333,2024-03-27,1580.98
2024,2295,2024-03-27,17196.86
2024,2409,2024-03-27,84284.68
2024,2370,2024-03-27,82402.79
2024,2223,2024-03-27,6208.24
2024,2391,2024-03-27,98886.05
2024,2239,2024-03-27,4117.92
2024,3155,2024-04-29,84910.09
2024,3124,2024-04-29,2926.67
2024,3020,2024-04-29,184.1
2024,3186,2024-04-29,90778.85
2024,3165,2024-04-29,103913.54
2024,3004,2024-04-29,32118.07
2024,3044,2024-04-29,240.73
2024,2683,2024-04-15,6482.67
2024,3096,2024-04-29,4857.47
2024,3153,2024-04-29,103.86
2024,3002,2024-04-29,1354.2
2024,3645,2024-05-29,1856.26
2024,3691,2024-05-29,2539.21
2024,3725,2024-05-29,68051.13
2024,3810,2024-05-29,2214.44
2024,3777,2024-05-29,2893.37
2024,3646,2024-05-29,9451.4
2024,3765,2024-05-29,79873.1
2024,3785,2024-05-29,106219.09
2024,3684,2024-05-29,16312.87
2024,4440,2024-06-27,11271.59
2024,4479,2024-06-27,2247.01
2024,4543,2024-06-27,82486.57
2024,4534,2024-06-27,99232.19
2024,4476,2024-06-27,69415.29
2024,4553,2024-06-27,5493.86
2024,3980,2024-06-10,1172.73
2024,5150,2024-07-30,1508.11
2024,5205,2024-07-31,40.48
2024,5278,2024-07-31,80350.06
2024,5158,2024-07-30,568.9
2024,5256,2024-07-31,97345.45
2024,5244,2024-07-31,4046.34
2024,4658,2024-07-03,32118.45
2024,4661,2024-07-03,39236.45
2024,5310,2024-07-31,12267.92
2024,4876,2024-07-15,17404.29
2024,4683,2024-07-03,35978.81
2024,5246,2024-07-31,74718.37
2024,5235,2024-07-31,2110.64
2024,5944,2024-08-29,78.36
2024,6022,2024-08-29,3783.7
2024,5449,2024-08-08,2373.03
2024,5481,2024-08-08,3222.97
2024,5947,2024-08-29,5416.32
2024,5460,2024-08-08,163.04
2024,6042,2024-08-29,384.8
2024,5573,2024-08-12,1353.44
2024,6002,2024-08-29,84849.45
2024,5577,2024-08-12,1165.08
2024,5571,2024-08-12,225.36
2024,6086,2024-08-29,103735.44
2024,5923,2024-08-29,5023.43
2024,5572,2024-08-12,1165.08
2024,5921,2024-08-29,6341.92
2024,5498,2024-08-08,1929.01
2024,5472,2024-08-08,18.83
2024,5496,2024-08-08,69.87
2024,5574,2024-08-12,200
2024,6075,2024-08-29,2488.7
2024,6077,2024-08-29,83572.52
2024,6676,2024-09-27,2644.82
2024,6686,2024-09-27,4020.47
2024,6728,2024-09-27,78942.93
2024,6677,2024-09-27,86113.3
2024,6257,2024-09-09,184.36
2024,6592,2024-09-27,3526.37
2024,6697,2024-09-27,102492.24
2024,6740,2024-09-27,5543.92
2024,7335,2024-10-30,1596.24
2024,7395,2024-10-30,96986.69
2024,7387,2024-10-30,70.31
2024,7243,2024-10-30,2660.35
2024,7365,2024-10-30,109862.99
2024,7258,2024-10-30,5854.37
2024,7339,2024-10-30,74954.67
2024,7298,2024-10-30,881.61
2024,7260,2024-10-30,2757.94
2024,7293,2024-10-30,643.1
2024,8114,2024-11-28,121352.99
2024,8142,2024-11-28,11385
2024,8048,2024-11-28,78547.6
2024,7997,2024-11-28,2082.13
2024,8139,2024-11-28,705.29
2024,8106,2024-11-28,4581.88
2024,8098,2024-11-28,67447.5
2024,8066,2024-11-28,2121.7
2024,8000,2024-11-28,3526.36
2024,8096,2024-11-28,580.45
2024,8579,2024-12-19,5289.54
2024,8247,2024-12-05,44294.16
2024,8558,2024-12-19,6386.7
2024,8633,2024-12-19,502.57
2024,8269,2024-12-05,48604.33
2024,8686,2024-12-19,1033.14
2024,8662,2024-12-19,75405.29
2024,8658,2024-12-19,3891.99
2024,8260,2024-12-05,66937.37
2024,8573,2024-12-19,3811.42
2024,8798,2024-12-30,15255.05
2024,8650,2024-12-19,105815.38
2024,8643,2024-12-19,122724.36
2024,8632,2024-12-19,4386.59
