anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,14,2026-01-02,15000000
2026,18,2026-01-02,8500000
2026,16,2026-01-02,2500000
2026,817,2026-01-22,31535.7
2026,525,2026-01-13,84603.24
2026,884,2026-01-27,1100000
2026,22,2026-01-02,200000
2026,12,2026-01-02,20000
2026,7,2026-01-02,900000
2026,815,2026-01-22,2406247.94
2026,296,2026-01-02,929.19
2026,951,2026-01-29,15737.28
2026,9,2026-01-02,20000
2026,3,2026-01-02,550000
2026,1592,2026-02-26,16077.91
2026,1318,2026-02-10,964.44
2026,2347,2026-03-30,16406.25
2026,1959,2026-03-16,995.74
2026,1846,2026-03-05,138622.18
2026,1847,2026-03-05,1612975.66
2026,1826,2026-03-05,1000000
2026,2849,2026-04-14,1030.32
