anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,165,2025-01-30,15352.44
2025,88,2025-01-09,96000
2025,23,2025-01-02,9108
2025,164,2025-01-30,3581.99
2025,77,2025-01-09,1936.95
2025,126,2025-01-13,10000
2025,128,2025-01-13,70000
2025,100,2025-01-09,71248.8
2025,79,2025-01-09,68248.8
2025,98,2025-01-09,2025.29
2025,18,2025-01-02,9108
2025,17,2025-01-02,9108
2025,136,2025-01-17,2324
2025,166,2025-01-31,2880
2025,83,2025-01-09,61648.8
2025,111,2025-01-09,58944
2025,81,2025-01-09,87349.32
2025,55,2025-01-03,10806.9
2025,102,2025-01-09,47048.16
2025,32,2025-01-02,9108
2025,78,2025-01-09,42000
2025,26,2025-01-02,18216
2025,89,2025-01-09,50292
2025,96,2025-01-09,88918.44
2025,108,2025-01-09,42000
2025,112,2025-01-09,132139.2
2025,90,2025-01-09,90000
2025,106,2025-01-09,56400
2025,25,2025-01-02,9108
2025,16,2025-01-02,9108
2025,27,2025-01-02,18216
2025,87,2025-01-09,72897.6
2025,104,2025-01-09,83248.8
2025,28,2025-01-02,9108
2025,73,2025-01-03,22678.39
2025,29,2025-01-02,9108
2025,52,2025-01-02,348.6
2025,147,2025-01-30,192.86
2025,54,2025-01-02,3738.71
2025,30,2025-01-02,18216
2025,130,2025-01-13,70000
2025,34,2025-01-02,9108
2025,19,2025-01-02,18216
2025,94,2025-01-09,43320
2025,101,2025-01-09,73648.8
2025,57,2025-01-03,15000
2025,51,2025-01-02,3465.29
2025,82,2025-01-09,50400
2025,127,2025-01-13,29330.6
2025,110,2025-01-09,50832
2025,24,2025-01-02,9108
2025,80,2025-01-09,74997.12
2025,84,2025-01-09,76048.8
2025,105,2025-01-09,57600
2025,95,2025-01-09,56274.24
2025,134,2025-01-14,30490
2025,33,2025-01-02,18216
2025,91,2025-01-09,49884
2025,15,2025-01-02,18216
2025,131,2025-01-13,80000
2025,107,2025-01-09,84000
2025,22,2025-01-02,18216
2025,97,2025-01-09,62400
2025,53,2025-01-02,547.31
2025,58,2025-01-03,71094.51
2025,135,2025-01-15,9995.5
2025,31,2025-01-02,9108
2025,93,2025-01-09,57600
2025,132,2025-01-13,40000
2025,14,2025-01-02,9108
2025,109,2025-01-09,42000
2025,92,2025-01-09,46668
2025,21,2025-01-02,9108
2025,20,2025-01-02,9108
2025,129,2025-01-13,60000
2025,72,2025-01-03,5140.6
2025,86,2025-01-09,101212.8
2025,85,2025-01-09,35640
2025,133,2025-01-13,50000
2025,103,2025-01-09,84615.72
2025,228,2025-02-27,3531.02
2025,208,2025-02-25,234.78
2025,172,2025-02-06,4037.59
2025,207,2025-02-24,39000
2025,176,2025-02-07,104.13
2025,167,2025-02-04,8349
2025,168,2025-02-04,8349
2025,178,2025-02-10,1466.66
2025,219,2025-02-27,230.65
2025,171,2025-02-06,77248.8
2025,186,2025-02-12,30376
2025,225,2025-02-27,14764.68
2025,277,2025-03-28,3570.29
2025,246,2025-03-11,15180
2025,244,2025-03-06,1675.2
2025,259,2025-03-24,43785
2025,267,2025-03-28,111.48
2025,247,2025-03-12,2495.35
2025,235,2025-03-03,7590
2025,261,2025-03-24,53493.12
2025,278,2025-03-28,14755.85
2025,248,2025-03-14,29748
2025,296,2025-04-15,50819
2025,303,2025-04-17,28558
2025,317,2025-04-29,194693.5
2025,319,2025-04-29,99.9
2025,327,2025-04-29,3548.23
2025,322,2025-04-29,14824.13
2025,291,2025-04-14,2512.8
2025,286,2025-04-08,1753.96
2025,311,2025-04-29,49088
2025,344,2025-05-14,2844.35
2025,332,2025-05-06,822.6
2025,368,2025-05-29,3665.06
2025,333,2025-05-06,3900.92
2025,356,2025-05-29,202.88
2025,361,2025-05-29,14446.64
2025,345,2025-05-16,28148
2025,350,2025-05-29,39367
2025,359,2025-05-29,49.95
2025,418,2025-06-26,14756.07
2025,420,2025-06-30,4833
2025,383,2025-06-13,49000
2025,390,2025-06-23,9108
