anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,629,2026-01-28,1112
2026,414,2026-01-19,5000
2026,103,2026-01-05,63636.36
2026,649,2026-01-28,1174.98
2026,423,2026-01-19,5000
2026,864,2026-01-30,1605.31
2026,863,2026-01-30,1605.31
2026,628,2026-01-28,1112
2026,306,2026-01-16,11386.54
2026,648,2026-01-28,1174.98
2026,335,2026-01-19,678.19
2026,1009,2026-02-05,499.98
2026,1373,2026-02-23,3286.39
2026,1322,2026-02-23,457.96
2026,1207,2026-02-12,1467.66
2026,1084,2026-02-06,551.25
2026,1097,2026-02-06,599.38
2026,1233,2026-02-13,892.5
2026,1045,2026-02-05,224.81
2026,1167,2026-02-11,6502.63
2026,1236,2026-02-13,473.46
2026,1343,2026-02-23,505.26
2026,1324,2026-02-23,1200
2026,923,2026-02-04,4749.68
2026,1234,2026-02-13,853.8
2026,1010,2026-02-05,499.98
2026,1351,2026-02-23,2387.13
2026,1555,2026-02-26,1525.48
2026,1096,2026-02-06,599.38
2026,1415,2026-02-24,48250
2026,1054,2026-02-05,45.1
2026,1327,2026-02-23,1568.25
2026,1332,2026-02-23,2214
2026,2009,2026-03-23,2177.6
2026,2003,2026-03-23,46.26
2026,2069,2026-03-26,12850
2026,1963,2026-03-20,2251.5
2026,1779,2026-03-12,1255.8
2026,1999,2026-03-23,169
2026,1900,2026-03-18,1121.35
2026,1673,2026-03-04,63.8
2026,1776,2026-03-12,5351.5
2026,1810,2026-03-13,7098
2026,2070,2026-03-26,60000
2026,1974,2026-03-20,463.8
2026,1775,2026-03-12,595.2
2026,1675,2026-03-04,360
2026,2016,2026-03-23,3181.82
2026,1824,2026-03-13,50000
2026,1778,2026-03-12,3583
2026,1980,2026-03-20,228
2026,1777,2026-03-12,12250
2026,2135,2026-03-30,5720.46
2026,1901,2026-03-18,771.3
2026,1774,2026-03-12,1814.26
2026,1956,2026-03-20,553.38
2026,2000,2026-03-23,765.98
2026,1998,2026-03-23,139.5
2026,2068,2026-03-26,39600
2026,2316,2026-04-08,8115.61
2026,2227,2026-04-01,213.67
