anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,52,2026-01-19,108000
2026,23,2026-01-02,55615.43
2026,33,2026-01-05,43.8
2026,15,2026-01-02,3100.5
2026,51,2026-01-15,43.8
2026,4,2026-01-02,350000
2026,47,2026-01-14,274.16
2026,49,2026-01-15,43.8
2026,10,2026-01-02,34920.15
2026,13,2026-01-02,779.28
2026,3,2026-01-02,297111.33
2026,19,2026-01-02,272227.13
2026,1,2026-01-02,5000
2026,7,2026-01-02,4581.34
2026,22,2026-01-02,4357.5
2026,32,2026-01-05,43.8
2026,17,2026-01-02,7989.12
2026,8,2026-01-02,1901.18
2026,30,2026-01-05,1355175
2026,21,2026-01-02,1917.89
2026,16,2026-01-02,9938
2026,50,2026-01-15,43.8
2026,46,2026-01-14,1162.61
2026,11,2026-01-02,7150.08
2026,14,2026-01-02,5856.36
2026,18,2026-01-02,18641.28
2026,2,2026-01-02,3120
2026,9,2026-01-02,8893.96
2026,59,2026-01-26,7070
2026,20,2026-01-02,244862.13
2026,5,2026-01-02,70000
2026,12,2026-01-02,687.7
2026,31,2026-01-05,1147381.5
2026,6,2026-01-02,250000
2026,76,2026-02-04,1240
2026,74,2026-02-04,2270
2026,75,2026-02-04,3240
2026,121,2026-03-09,19466.98
2026,157,2026-03-19,43.8
2026,117,2026-03-05,1167.97
2026,118,2026-03-05,43.8
2026,146,2026-03-17,76399
2026,158,2026-03-19,43.8
2026,153,2026-03-19,43.8
2026,159,2026-03-19,43.8
2026,148,2026-03-17,13062.91
2026,211,2026-04-14,161.03
2026,209,2026-04-13,43.8
2026,180,2026-04-02,2520
2026,179,2026-04-02,780
2026,213,2026-04-15,15900
2026,178,2026-04-02,1170
