anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,514,2023-01-30,1527560.28
2023,523,2023-01-30,1054.45
2023,526,2023-01-30,19541.04
2023,943,2023-02-27,2436.9
2023,784,2023-02-10,8969.88
2023,978,2023-02-27,69542.82
2023,975,2023-02-27,9301.2
2023,790,2023-02-10,15163.74
2023,968,2023-02-27,1583916.29
2023,1376,2023-03-30,62709.89
2023,1374,2023-03-30,7850.94
2023,1087,2023-03-07,10.27
2023,1093,2023-03-07,24949.89
2023,1091,2023-03-07,7074.54
2023,1340,2023-03-30,2531.84
2023,1095,2023-03-07,3756.72
2023,1086,2023-03-07,5001.48
2023,1364,2023-03-30,1407262.14
2023,1611,2023-04-20,386.34
2023,1715,2023-04-27,7465.95
2023,1740,2023-04-27,1337347.68
2023,1748,2023-04-27,3196.08
2023,1609,2023-04-20,1274.73
2023,1607,2023-04-20,85.26
2023,1750,2023-04-27,28423.93
2023,1573,2023-04-18,1476.24
2023,2164,2023-05-31,1457827.55
2023,2185,2023-05-31,1356.48
2023,2172,2023-05-31,5676.45
2023,2174,2023-05-31,20552.46
2023,2138,2023-05-31,7221.15
2023,2538,2023-06-29,10290.8
2023,2524,2023-06-29,1438958.58
2023,2536,2023-06-29,2847.01
2023,2499,2023-06-29,15627.18
2023,2668,2023-07-06,622318.32
2023,2909,2023-07-27,6622.08
2023,2935,2023-07-27,1518942.56
2023,2945,2023-07-27,66025.16
2023,2947,2023-07-27,214121.65
2023,3346,2023-08-30,1631.82
2023,3356,2023-08-30,22881.69
2023,3375,2023-08-30,1486922.87
2023,3342,2023-08-30,3835.65
2023,3725,2023-09-28,1697.52
2023,3699,2023-09-26,3029.4
2023,3745,2023-09-28,910130.91
2023,3876,2023-10-06,15223.15
2023,4179,2023-10-27,1483577.09
2023,4147,2023-10-27,1364.92
2023,4659,2023-11-29,33742.22
2023,4647,2023-11-29,78282.79
2023,4661,2023-11-29,49776.87
2023,4610,2023-11-29,751531.81
2023,4632,2023-11-29,102431.69
2023,4583,2023-11-29,13157.55
2023,4631,2023-11-29,539326.55
2023,4556,2023-11-28,3336.58
2023,4945,2023-12-21,16334.18
2023,5047,2023-12-22,2912.25
2023,4780,2023-12-07,1180.5
2023,4952,2023-12-21,177700.8
2023,4973,2023-12-21,15145.07
2023,4970,2023-12-21,9289.75
2023,4777,2023-12-07,573560.4
2023,4793,2023-12-07,121060.06
