anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,183,2024-01-09,79.16
2024,101,2024-01-05,5000
2024,137,2024-01-05,5000
2024,98,2024-01-05,9666.95
2024,220,2024-01-15,39.9
2024,65,2024-01-05,40000
2024,178,2024-01-09,2254.26
2024,72,2024-01-05,22044.03
2024,714,2024-01-31,39.9
2024,339,2024-01-24,39.9
2024,338,2024-01-24,39.9
2024,135,2024-01-05,56880
2024,182,2024-01-09,17581.41
2024,365,2024-01-26,5000
2024,7,2024-01-02,39.9
2024,139,2024-01-05,50000
2024,35,2024-01-03,30000
2024,68,2024-01-05,435708
2024,272,2024-01-18,14317.23
2024,238,2024-01-16,39.9
2024,239,2024-01-16,39.9
2024,219,2024-01-12,2373.2
2024,119,2024-01-05,81875.15
2024,713,2024-01-31,39.9
2024,155,2024-01-08,39.9
2024,25,2024-01-03,50000
2024,105,2024-01-05,15000
2024,181,2024-01-09,1801.16
2024,100,2024-01-05,17465.36
2024,99,2024-01-05,3000
2024,136,2024-01-05,15007.7
2024,179,2024-01-09,7787.31
2024,221,2024-01-15,39.9
2024,184,2024-01-09,173.96
2024,114,2024-01-05,23981.95
2024,359,2024-01-26,79.79
2024,373,2024-01-26,4500
2024,344,2024-01-25,39.9
2024,73,2024-01-05,3000
2024,343,2024-01-25,39.9
2024,6,2024-01-02,39.9
2024,180,2024-01-09,1071.36
2024,978,2024-02-26,30000
2024,861,2024-02-15,39.9
2024,849,2024-02-14,1071.36
2024,956,2024-02-23,39.9
2024,1003,2024-02-27,39.9
2024,758,2024-02-06,79.79
2024,850,2024-02-14,170.51
2024,931,2024-02-22,88000
2024,972,2024-02-26,5000
2024,847,2024-02-14,1140.6
2024,757,2024-02-06,79.79
2024,818,2024-02-12,79.79
2024,756,2024-02-06,79.79
2024,1130,2024-02-29,39.9
2024,954,2024-02-23,79.79
2024,720,2024-02-01,39.9
2024,779,2024-02-08,1099.35
2024,851,2024-02-14,1753.24
2024,848,2024-02-14,6321.43
2024,887,2024-02-16,5000
2024,886,2024-02-16,84000
2024,1093,2024-02-28,465.16
2024,843,2024-02-14,11522.72
2024,736,2024-02-05,39.9
2024,826,2024-02-13,40000
2024,1001,2024-02-27,79.79
2024,1043,2024-02-28,39.9
2024,911,2024-02-20,39.9
2024,852,2024-02-14,9053.91
2024,819,2024-02-12,79.79
2024,1131,2024-02-29,39.9
2024,868,2024-02-15,39.9
2024,955,2024-02-23,39.9
2024,737,2024-02-05,39.9
2024,1004,2024-02-27,39.9
2024,912,2024-02-20,39.9
2024,992,2024-02-27,117115.2
2024,1434,2024-03-21,39.9
2024,1370,2024-03-18,3059.47
2024,1467,2024-03-26,39.9
2024,1541,2024-03-27,331.06
2024,1386,2024-03-18,39.9
2024,1364,2024-03-15,39.9
2024,1400,2024-03-20,1814.8
2024,1190,2024-03-05,39.9
2024,1182,2024-03-04,19460.61
2024,1262,2024-03-08,39.9
2024,1340,2024-03-13,39.9
2024,1466,2024-03-26,39.9
2024,1141,2024-03-01,15000
2024,1373,2024-03-18,2241.36
2024,1371,2024-03-18,1071.36
2024,1388,2024-03-18,39.9
2024,1374,2024-03-18,11151.58
2024,1347,2024-03-14,39.9
2024,1372,2024-03-18,174.66
2024,1450,2024-03-25,39.9
2024,1346,2024-03-14,39.9
2024,1383,2024-03-18,39.9
2024,1369,2024-03-18,881.89
2024,1435,2024-03-21,39.9
2024,1387,2024-03-18,39.9
2024,1411,2024-03-20,15000
2024,1857,2024-04-22,79.79
2024,1937,2024-04-26,73429.72
2024,1722,2024-04-10,39.9
2024,1670,2024-04-05,3960
2024,1796,2024-04-17,39.9
2024,1874,2024-04-23,39.9
2024,1772,2024-04-16,39.9
2024,1907,2024-04-25,39.9
2024,1886,2024-04-24,9332.67
2024,1863,2024-04-23,79.79
