anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,887,2025-01-31,4585.5
2025,359,2025-01-13,1512000
2025,795,2025-01-30,25000
2025,886,2025-01-31,16523
2025,358,2025-01-13,504405
2025,482,2025-01-16,1362
2025,792,2025-01-30,25000
2025,793,2025-01-30,200000
2025,483,2025-01-16,100000
2025,794,2025-01-30,100000
2025,791,2025-01-30,200000
2025,1021,2025-02-06,82945.5
2025,1022,2025-02-06,8138
2025,1525,2025-02-27,108000
2025,996,2025-02-06,210000
2025,1092,2025-02-13,27299.94
2025,1390,2025-02-26,1605.06
2025,1019,2025-02-06,5856
2025,1024,2025-02-06,28321
2025,1020,2025-02-06,4590
2025,923,2025-02-05,46428.14
2025,1023,2025-02-06,40572.6
2025,924,2025-02-05,47549.56
2025,1851,2025-03-21,100000
2025,1852,2025-03-21,17600
2025,1996,2025-03-28,83063.88
2025,1581,2025-03-05,15000
2025,1582,2025-03-05,410000
2025,1968,2025-03-27,54000
2025,1583,2025-03-05,200000
2025,1796,2025-03-18,42648.75
2025,2104,2025-03-28,175340
2025,1754,2025-03-14,350000
2025,1992,2025-03-28,131777.36
2025,1993,2025-03-28,64117
2025,1853,2025-03-21,2337
2025,1798,2025-03-18,72928.96
2025,1994,2025-03-28,10539.59
2025,1797,2025-03-18,14518.49
2025,1995,2025-03-28,154837.68
2025,2217,2025-04-07,510000
2025,2346,2025-04-17,7131.63
2025,2381,2025-04-22,4345.8
2025,2219,2025-04-07,780200
2025,2444,2025-04-25,135000
2025,2424,2025-04-25,10219.5
2025,2916,2025-05-21,81445.72
2025,2794,2025-05-12,15000
2025,2796,2025-05-12,91490.88
2025,2920,2025-05-21,943601.28
2025,2797,2025-05-12,63833.68
2025,2997,2025-05-28,175000
2025,2734,2025-05-08,171000
2025,2917,2025-05-21,388804.28
2025,2887,2025-05-21,256383.72
2025,2738,2025-05-08,12150
2025,2629,2025-05-02,175340
2025,2733,2025-05-08,554300
2025,2823,2025-05-13,162000
2025,2918,2025-05-21,14153.3
2025,2795,2025-05-12,64777.5
2025,2919,2025-05-21,141600
2025,2736,2025-05-08,27500
2025,2994,2025-05-27,183310
2025,2735,2025-05-08,594000
2025,2630,2025-05-02,15530
2025,3293,2025-06-11,75499.95
2025,3311,2025-06-12,6513
2025,3373,2025-06-18,176000
2025,3439,2025-06-23,106381.76
2025,3228,2025-06-06,9070.42
2025,3234,2025-06-06,473100
2025,3233,2025-06-06,20000
2025,3339,2025-06-16,55984
2025,3235,2025-06-06,232500
2025,3229,2025-06-06,13171.9
2025,3317,2025-06-13,675
2025,3232,2025-06-06,40000
2025,3511,2025-06-25,54000
2025,3295,2025-06-11,9159.36
2025,3408,2025-06-18,26500.25
2025,3294,2025-06-11,44460
2025,3495,2025-06-25,79700
2025,3510,2025-06-25,94000
2025,3231,2025-06-06,12850
2025,3230,2025-06-06,16557.68
2025,3496,2025-06-25,233440
2025,4138,2025-07-30,20400
2025,3917,2025-07-16,10800
2025,4143,2025-07-30,6955.5
2025,3727,2025-07-04,120968.82
2025,4072,2025-07-29,149160
2025,4230,2025-07-31,10862.64
2025,3726,2025-07-04,116418.25
2025,4232,2025-07-31,24222
2025,3716,2025-07-03,20000
2025,4137,2025-07-30,5548.5
2025,3935,2025-07-17,8028
2025,4076,2025-07-29,169500.1
2025,4139,2025-07-30,11997.6
2025,4140,2025-07-30,235.08
2025,4077,2025-07-29,54223.1
2025,4078,2025-07-29,115995.97
2025,4231,2025-07-31,31500
2025,3729,2025-07-04,719800
2025,3725,2025-07-04,18475.87
2025,4029,2025-07-24,20000
2025,4079,2025-07-29,40258.08
2025,3890,2025-07-14,29495
2025,4142,2025-07-30,1852
2025,3732,2025-07-04,80000
2025,4229,2025-07-31,16052.4
2025,3934,2025-07-17,2172
2025,4141,2025-07-30,1752
2025,4018,2025-07-23,199250
2025,4233,2025-07-31,632
2025,4322,2025-08-07,327.6
2025,4630,2025-08-27,154.5
2025,4319,2025-08-07,118.65
2025,4392,2025-08-13,2557
2025,4269,2025-08-04,7259.5
2025,4399,2025-08-13,516
2025,4325,2025-08-07,156
2025,4268,2025-08-04,1400
2025,4317,2025-08-07,416.46
2025,4382,2025-08-12,152550
2025,4326,2025-08-07,526.95
2025,4371,2025-08-11,57934
2025,4391,2025-08-13,399.9
2025,4673,2025-08-28,149160
2025,4315,2025-08-07,771.78
2025,4320,2025-08-07,98.97
2025,4321,2025-08-07,298.8
2025,4400,2025-08-13,6690
2025,4323,2025-08-07,180.43
2025,4316,2025-08-07,304
2025,4318,2025-08-07,117.6
2025,4581,2025-08-22,102
2025,4397,2025-08-13,120.1
2025,4580,2025-08-22,148.74
2025,4396,2025-08-13,132
2025,4437,2025-08-14,2975
2025,4394,2025-08-13,481.8
2025,4674,2025-08-28,84750
2025,4255,2025-08-01,3780
2025,4393,2025-08-13,799.6
2025,4327,2025-08-07,288
2025,4598,2025-08-25,6173.97
2025,4314,2025-08-07,360
2025,4597,2025-08-25,199250
2025,4270,2025-08-04,336000
2025,4395,2025-08-13,3060
2025,4582,2025-08-22,123.2
2025,4583,2025-08-22,239.8
2025,4256,2025-08-01,17888
2025,4486,2025-08-19,371.5
2025,4436,2025-08-14,1586
2025,4446,2025-08-14,232500
2025,4324,2025-08-07,1095.91
2025,4267,2025-08-04,3256.5
2025,4775,2025-09-01,27047.52
2025,5002,2025-09-12,650
2025,4853,2025-09-04,151.68
2025,4887,2025-09-08,252000
2025,5003,2025-09-12,24500
2025,4852,2025-09-04,369
2025,5023,2025-09-15,149160
2025,4772,2025-09-01,94691.9
2025,5153,2025-09-26,20000
2025,4851,2025-09-04,12585.4
2025,5150,2025-09-26,190000
2025,4774,2025-09-01,107450.8
2025,5000,2025-09-12,588
2025,5169,2025-09-29,1200
2025,5001,2025-09-12,11280
2025,4773,2025-09-01,30480
2025,4850,2025-09-04,103.24
2025,4771,2025-09-01,1799.99
2025,5151,2025-09-26,300000
2025,4779,2025-09-02,190000
2025,4921,2025-09-10,4725
2025,5569,2025-10-20,252000
2025,5571,2025-10-20,20000
2025,6004,2025-10-30,60283.85
2025,5585,2025-10-21,112213.1
2025,5496,2025-10-15,74580
2025,6015,2025-10-31,4068
2025,5525,2025-10-16,391.08
2025,5586,2025-10-21,3600
2025,5597,2025-10-21,1584
2025,6005,2025-10-30,15340.22
2025,5478,2025-10-13,719800
2025,5457,2025-10-13,149160
2025,5301,2025-10-01,20972.5
2025,5456,2025-10-13,13376.94
2025,5575,2025-10-20,46022.66
2025,5523,2025-10-16,132.6
2025,5304,2025-10-01,2400
2025,5596,2025-10-21,1865.84
2025,5570,2025-10-20,36612
2025,5303,2025-10-01,1086
2025,5476,2025-10-13,51650
2025,5524,2025-10-16,258
2025,5302,2025-10-01,393.65
2025,5573,2025-10-20,51650
2025,5455,2025-10-13,138327.6
2025,5574,2025-10-20,33977.34
2025,5424,2025-10-10,199250
