anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,739,2023-01-23,200
2023,876,2023-01-30,96.62
2023,1258,2023-02-14,96.62
2023,1257,2023-02-14,96.62
2023,1325,2023-02-17,96.62
2023,1367,2023-02-20,4013.86
2023,2295,2023-04-05,371.11
2023,3178,2023-05-18,96.62
2023,3330,2023-05-25,418091
2023,4685,2023-07-17,96.62
2023,5834,2023-09-13,96.62
2023,5659,2023-09-04,96.62
2023,6271,2023-09-29,96.62
2023,6272,2023-09-29,96.62
2023,6660,2023-10-25,96.62
2023,6499,2023-10-13,111839.59
2023,7756,2023-12-13,4778.32
2023,7716,2023-12-11,96.62
