anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,945,2026-01-29,2252.83
2026,1069,2026-01-29,25273.93
2026,927,2026-01-29,1747.73
2026,939,2026-01-29,10327.82
2026,944,2026-01-29,37586.63
2026,1122,2026-01-29,260872.79
2026,1044,2026-01-29,108000
2026,1113,2026-01-29,69954.8
2026,968,2026-01-29,16310.55
2026,1530,2026-02-26,5374.57
2026,1637,2026-02-26,108000
2026,1657,2026-02-26,19423.12
2026,1712,2026-02-26,315392.48
2026,2356,2026-03-30,120000
2026,2418,2026-03-30,6265.5
2026,2425,2026-03-30,322685.01
2026,2305,2026-03-30,464.69
