anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,166,2026-01-15,43.8
2026,224,2026-01-29,338.13
2026,181,2026-01-16,3701.72
2026,184,2026-01-19,811.2
2026,66,2026-01-02,50000
2026,93,2026-01-15,50000
2026,161,2026-01-15,12750.77
2026,165,2026-01-15,43.8
2026,102,2026-01-15,3587.9
2026,106,2026-01-15,10000
2026,84,2026-01-05,43.8
2026,10,2026-01-02,1560
2026,72,2026-01-02,280000
2026,83,2026-01-05,43.8
2026,95,2026-01-15,8123.92
2026,120,2026-01-15,756
2026,164,2026-01-15,43.8
2026,162,2026-01-15,43.8
2026,100,2026-01-15,7000
2026,105,2026-01-15,17066.26
2026,174,2026-01-15,43.8
2026,183,2026-01-16,110
2026,108,2026-01-15,52920
2026,92,2026-01-15,33670
2026,203,2026-01-29,216.23
2026,178,2026-01-15,43.8
2026,173,2026-01-15,43.8
2026,104,2026-01-15,400000
2026,111,2026-01-15,10000
2026,74,2026-01-02,30000
2026,11,2026-01-02,103220.35
2026,71,2026-01-02,140000
2026,144,2026-01-15,72000
2026,70,2026-01-02,110000
2026,64,2026-01-02,200000
2026,91,2026-01-15,5140.6
2026,94,2026-01-15,50000
2026,81,2026-01-02,43.8
2026,116,2026-01-15,100000
2026,69,2026-01-02,370000
2026,103,2026-01-15,150000
2026,101,2026-01-15,10000
2026,163,2026-01-15,43.8
2026,170,2026-01-15,43.8
2026,96,2026-01-15,18955.81
2026,76,2026-01-02,50000
2026,119,2026-01-15,70000
2026,175,2026-01-15,43.8
2026,118,2026-01-15,107128.49
2026,89,2026-01-15,7854.47
2026,78,2026-01-02,66000
2026,75,2026-01-02,50000
2026,186,2026-01-21,161400
2026,121,2026-01-15,49244
2026,112,2026-01-15,6800
2026,88,2026-01-15,63251
2026,90,2026-01-15,22678.39
2026,99,2026-01-15,30729.88
2026,109,2026-01-15,21997.5
2026,86,2026-01-12,258
2026,176,2026-01-15,43.8
2026,182,2026-01-16,7540
2026,117,2026-01-15,100000
2026,73,2026-01-02,280000
2026,168,2026-01-15,43.8
2026,41,2026-01-02,180000
2026,107,2026-01-15,225.5
2026,179,2026-01-15,43.8
2026,87,2026-01-12,620
2026,80,2026-01-02,43.8
2026,3,2026-01-02,2000
2026,110,2026-01-15,105.61
2026,187,2026-01-21,6750
2026,65,2026-01-02,30000
2026,171,2026-01-15,43.8
2026,228,2026-01-29,26682.33
2026,82,2026-01-05,104.13
2026,180,2026-01-15,43.8
2026,68,2026-01-02,250000
2026,185,2026-01-19,67200
2026,172,2026-01-15,43.8
2026,42,2026-01-02,150000
2026,177,2026-01-15,43.8
2026,85,2026-01-05,43.8
2026,67,2026-01-02,30000
2026,169,2026-01-15,43.8
2026,77,2026-01-02,66000
2026,167,2026-01-15,43.8
2026,238,2026-02-04,490
2026,278,2026-02-26,3960
2026,245,2026-02-09,14135.6
2026,264,2026-02-23,6039.06
2026,293,2026-02-26,26211
2026,274,2026-02-25,2275.49
2026,265,2026-02-23,796.59
2026,244,2026-02-06,4591.2
2026,276,2026-02-25,305.45
2026,297,2026-02-26,140.52
2026,277,2026-02-26,8013.5
2026,240,2026-02-04,43.8
2026,235,2026-02-04,4551.06
2026,298,2026-02-26,179.8
2026,272,2026-02-25,43432.18
2026,263,2026-02-23,1000
2026,242,2026-02-04,126.19
2026,273,2026-02-25,6224
2026,236,2026-02-04,2704.7
2026,243,2026-02-04,60
2026,300,2026-02-26,149.4
2026,237,2026-02-04,2700
2026,232,2026-02-02,8013.5
2026,241,2026-02-04,122.35
2026,284,2026-02-26,132.84
2026,239,2026-02-04,4800
2026,290,2026-02-26,338.13
2026,275,2026-02-25,744
2026,259,2026-02-13,63251
2026,234,2026-02-04,292.16
2026,233,2026-02-03,240
2026,350,2026-03-30,98000
2026,343,2026-03-30,304.32
2026,312,2026-03-13,72000
2026,328,2026-03-25,43.8
2026,307,2026-03-11,3500
2026,321,2026-03-23,1890
2026,316,2026-03-16,341.02
2026,301,2026-03-03,63251
2026,308,2026-03-11,3045
2026,313,2026-03-13,104.13
2026,322,2026-03-23,5368.65
2026,327,2026-03-25,120
2026,309,2026-03-11,3729.3
2026,306,2026-03-09,3675.84
2026,319,2026-03-20,341.02
2026,354,2026-03-31,240
2026,320,2026-03-23,7791.36
2026,341,2026-03-30,25369.1
2026,311,2026-03-13,33991.23
2026,318,2026-03-18,1692.93
2026,351,2026-03-30,17433
2026,305,2026-03-09,291.28
2026,324,2026-03-23,395.68
2026,352,2026-03-30,7051.3
2026,361,2026-04-02,4941
2026,370,2026-04-02,4904.97
2026,358,2026-04-02,220
2026,378,2026-04-14,120
2026,379,2026-04-15,197.18
2026,360,2026-04-02,791.72
2026,374,2026-04-14,7594.82
2026,373,2026-04-14,268.39
2026,359,2026-04-02,582.27
2026,375,2026-04-14,120
2026,376,2026-04-14,120
2026,371,2026-04-08,1725.62
2026,382,2026-04-15,617.63
2026,377,2026-04-14,258
2026,387,2026-04-17,104.13
2026,357,2026-04-02,3960
2026,362,2026-04-02,2299.89
2026,363,2026-04-02,4038.92
2026,381,2026-04-15,11130
