anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,271,2024-01-18,21764.31
2024,63,2024-01-05,184510.53
2024,120,2024-01-05,44284.51
2024,22,2024-01-03,50000
2024,31,2024-01-03,25000
2024,76,2024-01-05,100000
2024,29,2024-01-03,25000
2024,32,2024-01-03,1000000
2024,217,2024-01-12,18811.1
2024,89,2024-01-05,20000
2024,361,2024-01-26,30000
2024,380,2024-01-26,11792.48
2024,376,2024-01-26,20812.68
2024,90,2024-01-05,20000
2024,360,2024-01-26,58000
2024,378,2024-01-26,11172.2
2024,102,2024-01-05,22975.55
2024,78,2024-01-05,15444
2024,362,2024-01-26,48149.68
2024,140,2024-01-05,700000
2024,379,2024-01-26,31383.25
2024,84,2024-01-05,4000
2024,30,2024-01-03,75000
2024,846,2024-02-14,3655.98
2024,787,2024-02-08,7464
2024,785,2024-02-08,8551.1
2024,840,2024-02-14,88580.46
2024,916,2024-02-21,13000
2024,780,2024-02-08,11202.9
2024,784,2024-02-08,13766
2024,788,2024-02-08,12720
2024,836,2024-02-14,17634
2024,1034,2024-02-28,240.13
2024,830,2024-02-13,11006.5
2024,1127,2024-02-28,500
2024,1138,2024-02-29,250000
2024,838,2024-02-14,4491
2024,975,2024-02-26,80000
2024,831,2024-02-13,14329.5
2024,1033,2024-02-28,1988.3
2024,825,2024-02-13,190000
2024,835,2024-02-13,17045
2024,839,2024-02-14,10031
2024,791,2024-02-08,2970
2024,833,2024-02-13,193967.53
2024,786,2024-02-08,496
2024,783,2024-02-08,4136
2024,1017,2024-02-28,10073.27
2024,834,2024-02-13,6648.8
2024,969,2024-02-26,20000
2024,1005,2024-02-28,211215.83
2024,842,2024-02-14,23045.41
2024,980,2024-02-26,80000
2024,841,2024-02-14,4834.5
2024,913,2024-02-21,12000
2024,903,2024-02-20,16000
2024,837,2024-02-14,724.95
2024,1072,2024-02-28,5651.8
2024,789,2024-02-08,12430
2024,1145,2024-03-01,40000
2024,1413,2024-03-20,40000
2024,1402,2024-03-20,16490.25
2024,1177,2024-03-04,1687.03
2024,1422,2024-03-20,427718.71
2024,1406,2024-03-20,17718.61
2024,1520,2024-03-27,6617.35
2024,1327,2024-03-13,400000
2024,1938,2024-04-26,191254.88
2024,1778,2024-04-17,48175
2024,1784,2024-04-17,15460.7
2024,1993,2024-04-29,2987.04
2024,1644,2024-04-03,20000
2024,1802,2024-04-18,15041.24
2024,1649,2024-04-03,29957
2024,2022,2024-04-29,4943.95
2024,1779,2024-04-17,9590
2024,1646,2024-04-03,17357.98
2024,1882,2024-04-24,42722.46
2024,1642,2024-04-03,24000
2024,2388,2024-05-28,791.2
2024,2390,2024-05-28,632.8
2024,2208,2024-05-14,60780
2024,2470,2024-05-29,6400
2024,2516,2024-05-29,3977.09
2024,2215,2024-05-14,17490.48
2024,2385,2024-05-28,1975
2024,2212,2024-05-14,15896.95
2024,2393,2024-05-28,5127
2024,2413,2024-05-28,8512
2024,2394,2024-05-28,16759.8
2024,2407,2024-05-28,1504.8
2024,2209,2024-05-14,13935
2024,2458,2024-05-29,46000
2024,2219,2024-05-14,46807.5
2024,2391,2024-05-28,21116.73
2024,2387,2024-05-28,5996
2024,2417,2024-05-28,640
2024,2411,2024-05-28,448.6
2024,2414,2024-05-28,10733.8
2024,2701,2024-06-13,1077
2024,2695,2024-06-13,5100
2024,2675,2024-06-12,1895
2024,2704,2024-06-13,37100
2024,2676,2024-06-12,2670
2024,2700,2024-06-13,1962
2024,2826,2024-06-19,47920
2024,2788,2024-06-18,40000
2024,2679,2024-06-12,6700
2024,2671,2024-06-12,23950
2024,2678,2024-06-12,1441
2024,2754,2024-06-17,870.5
2024,2677,2024-06-12,460
2024,2904,2024-06-27,10726.8
2024,2699,2024-06-13,1310
2024,2841,2024-06-20,717.65
2024,2784,2024-06-18,40000
2024,2673,2024-06-12,28160.08
2024,2892,2024-06-26,12543.36
2024,2674,2024-06-12,24940
2024,2698,2024-06-13,2252.7
2024,2755,2024-06-17,9900
2024,2801,2024-06-18,2550
2024,2702,2024-06-13,9000
2024,2813,2024-06-19,13541.2
2024,2660,2024-06-11,1082.76
2024,2825,2024-06-19,9634
2024,2696,2024-06-13,26250
2024,2816,2024-06-19,75757.5
2024,2800,2024-06-18,18990
2024,2721,2024-06-13,1020
2024,2994,2024-06-27,7066.67
2024,2670,2024-06-12,20803
2024,2703,2024-06-13,29799.5
2024,2865,2024-06-24,16404.44
2024,2786,2024-06-18,40000
2024,2697,2024-06-13,299.4
2024,2868,2024-06-24,4650
2024,2962,2024-06-27,6080.03
2024,2705,2024-06-13,7319
2024,2787,2024-06-18,20000
2024,2672,2024-06-12,3700
2024,2756,2024-06-17,34176.6
2024,3483,2024-07-31,5678.61
2024,3263,2024-07-18,1895
2024,3202,2024-07-15,16510.31
2024,3253,2024-07-18,182.7
2024,3262,2024-07-18,5100
2024,3112,2024-07-04,36900
2024,3259,2024-07-18,5100
2024,3255,2024-07-18,7303.56
2024,3250,2024-07-18,4844.7
2024,3274,2024-07-18,4005
2024,3252,2024-07-18,11240
2024,3257,2024-07-18,16233.3
2024,3269,2024-07-18,1160
2024,3272,2024-07-18,3700
2024,3450,2024-07-31,7200
2024,3258,2024-07-18,9783.5
2024,3254,2024-07-18,1962
2024,3431,2024-07-31,7950
2024,3199,2024-07-15,400870.99
2024,3273,2024-07-18,15093.74
2024,3352,2024-07-24,11200.25
2024,3235,2024-07-17,12267.35
2024,3271,2024-07-18,12534.1
2024,3261,2024-07-18,272.5
2024,3111,2024-07-04,10710
2024,3366,2024-07-24,34800
2024,3275,2024-07-18,426
2024,3251,2024-07-18,1275
2024,3260,2024-07-18,2684.7
2024,3256,2024-07-18,28988.5
2024,3270,2024-07-18,17944.1
2024,4035,2024-08-30,6900
2024,4044,2024-08-30,3698
2024,3768,2024-08-16,19590
2024,4041,2024-08-30,1573
2024,3757,2024-08-16,33047.5
2024,4034,2024-08-30,1550
2024,4038,2024-08-30,6853.7
2024,4050,2024-08-30,402.24
2024,3743,2024-08-15,357540.68
2024,3980,2024-08-29,7146.66
2024,3775,2024-08-16,11761.3
2024,3531,2024-08-01,41736.86
2024,4043,2024-08-30,2550
2024,3591,2024-08-07,6120
2024,4040,2024-08-30,14840
2024,4051,2024-08-30,7963.5
2024,4052,2024-08-30,850
2024,4033,2024-08-30,6675
2024,4036,2024-08-30,15652.4
2024,3946,2024-08-29,3888.97
2024,4047,2024-08-30,34580
2024,4049,2024-08-30,8200
2024,3751,2024-08-16,20250.1
2024,4048,2024-08-30,1334
2024,4053,2024-08-30,6120
2024,3717,2024-08-14,39387.65
2024,4039,2024-08-30,19420
2024,3767,2024-08-16,410
2024,4046,2024-08-30,11394.1
2024,3808,2024-08-21,365631.24
2024,4042,2024-08-30,2740.4
2024,4037,2024-08-30,1850
2024,3589,2024-08-07,7316.5
2024,4045,2024-08-30,2250
2024,4430,2024-09-27,6693.33
2024,4444,2024-09-27,4268.51
2024,4287,2024-09-19,30571
2024,4348,2024-09-24,14047.25
2024,4293,2024-09-19,19452.41
2024,4789,2024-10-23,119.61
2024,4545,2024-10-03,3229.8
2024,4968,2024-10-31,7485
2024,4550,2024-10-03,87000
2024,4716,2024-10-16,17061.25
2024,4965,2024-10-31,2450
2024,4741,2024-10-17,3338.5
2024,4966,2024-10-31,2544
2024,4964,2024-10-31,1503.8
2024,4717,2024-10-16,15000
2024,4540,2024-10-03,5764
2024,4790,2024-10-23,8061.9
2024,4860,2024-10-30,50222.25
2024,4894,2024-10-30,7200
2024,4530,2024-10-03,3506.25
2024,4558,2024-10-03,121167.4
2024,4851,2024-10-30,52338.28
