anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,638,2023-01-18,104.13
2023,9,2023-01-02,6240
2023,724,2023-01-23,200
2023,1302,2023-02-16,2500000
2023,1747,2023-03-13,480400
2023,1703,2023-03-08,230000
2023,1721,2023-03-10,3562528
2023,1704,2023-03-08,3474300
2023,2350,2023-04-10,300
2023,2461,2023-04-14,1662
2023,2462,2023-04-14,1200
2023,3036,2023-05-10,245920
2023,3912,2023-06-19,7810
2023,3911,2023-06-19,2037.03
2023,4394,2023-07-05,1040
2023,5357,2023-08-18,7409.27
2023,5181,2023-08-09,2300
2023,5351,2023-08-17,469.56
2023,5180,2023-08-09,3277.12
2023,5123,2023-08-07,8535
2023,5358,2023-08-18,1860.45
2023,5792,2023-09-11,1813.34
2023,5714,2023-09-06,130000
2023,6832,2023-10-30,50
2023,6295,2023-10-03,1200
2023,6294,2023-10-03,2686.05
2023,7033,2023-11-10,7855.97
2023,7034,2023-11-10,5085.23
2023,7305,2023-11-24,5660.51
2023,6979,2023-11-09,353.62
2023,7302,2023-11-24,1079.92
2023,6987,2023-11-09,4551.24
2023,7301,2023-11-24,1136.29
2023,6988,2023-11-09,2201.52
2023,6980,2023-11-09,139.35
2023,7306,2023-11-24,2713.14
