anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,94,2023-01-02,10000
2023,70,2023-01-02,82000
2023,135,2023-01-05,79.79
2023,253,2023-01-17,79.79
2023,254,2023-01-17,79.79
2023,41,2023-01-02,14376.18
2023,17,2023-01-02,10000
2023,461,2023-01-27,79.79
2023,134,2023-01-05,79.79
2023,202,2023-01-13,79.79
2023,201,2023-01-13,79.79
2023,80,2023-01-02,3000
2023,102,2023-01-02,17553.17
2023,846,2023-02-20,79.79
2023,825,2023-02-17,79.79
2023,927,2023-02-24,79.79
2023,788,2023-02-10,79.79
2023,928,2023-02-24,79.79
2023,838,2023-02-20,50000
2023,824,2023-02-17,79.79
2023,1179,2023-03-10,79.79
2023,1030,2023-03-01,20000
2023,1076,2023-03-03,79.79
2023,1267,2023-03-24,79.79
2023,1220,2023-03-17,79.79
2023,1423,2023-03-31,23400
2023,1171,2023-03-10,50000
2023,1422,2023-03-31,79.79
2023,1471,2023-04-06,79.79
2023,1625,2023-04-20,79.79
2023,1534,2023-04-13,86012.11
2023,1550,2023-04-14,79.79
2023,1472,2023-04-06,79.79
2023,1528,2023-04-12,79.79
2023,1801,2023-04-28,79.79
2023,1549,2023-04-14,79.79
2023,1470,2023-04-06,79.79
2023,1649,2023-04-25,10000
2023,1624,2023-04-20,79.79
2023,1670,2023-04-26,79.79
2023,1831,2023-05-03,79.79
2023,2007,2023-05-16,79.79
2023,2224,2023-05-31,79.79
2023,1901,2023-05-08,79.79
2023,1862,2023-05-05,79.79
2023,2037,2023-05-18,8184.39
2023,1916,2023-05-10,79.79
2023,2064,2023-05-23,79.79
2023,2008,2023-05-16,79.79
2023,2117,2023-05-26,79.79
2023,2217,2023-05-31,1371.5
2023,2287,2023-06-09,79.79
2023,2463,2023-06-23,79.79
2023,2280,2023-06-07,79.79
2023,2247,2023-06-02,79.79
2023,2613,2023-06-30,79.79
2023,2347,2023-06-14,1995
2023,2420,2023-06-16,79.79
2023,2321,2023-06-13,13536.99
2023,2614,2023-06-30,79.79
2023,2318,2023-06-12,79.79
2023,3018,2023-07-31,10000
2023,2813,2023-07-14,79.79
2023,2868,2023-07-21,79.79
2023,2655,2023-07-05,79.79
2023,2683,2023-07-06,79.79
2023,2742,2023-07-12,307.74
2023,2995,2023-07-28,79.79
2023,2867,2023-07-21,79.79
2023,3061,2023-08-07,79.79
2023,3316,2023-08-24,79.79
2023,3215,2023-08-18,79.79
2023,3049,2023-08-03,79.79
2023,3100,2023-08-11,79.79
2023,3101,2023-08-11,79.79
2023,3048,2023-08-03,79.79
2023,3315,2023-08-24,79.79
2023,3326,2023-08-25,79.79
2023,3543,2023-09-15,79.79
2023,3410,2023-09-01,79.79
2023,3470,2023-09-08,79.79
2023,3661,2023-09-22,79.79
2023,3817,2023-09-29,79.79
2023,3530,2023-09-14,79.79
2023,4144,2023-10-27,79.79
2023,4013,2023-10-19,79.79
2023,4037,2023-10-20,79.79
2023,3900,2023-10-06,79.79
2023,3952,2023-10-13,79.79
2023,3899,2023-10-06,79.79
2023,4543,2023-11-24,79.79
2023,4485,2023-11-22,79.79
2023,4254,2023-11-03,79.79
2023,4403,2023-11-14,79.79
2023,4375,2023-11-10,79.79
2023,4484,2023-11-22,79.79
2023,4255,2023-11-03,79.79
2023,5071,2023-12-28,79.79
2023,5072,2023-12-29,79.79
2023,4891,2023-12-15,79.79
2023,5074,2023-12-29,79.79
2023,4987,2023-12-22,79.79
2023,4735,2023-12-05,558.4
2023,4835,2023-12-08,79.79
2023,5073,2023-12-29,79.79
2023,4940,2023-12-21,79.79
2023,4834,2023-12-08,79.79
2023,4731,2023-12-01,79.79
2023,5075,2023-12-29,79.79
