nomeEntidade,ano,descricaoPrograma,descricao,objetivo,descricaoOrgao,descricaoUnidade,descricaoFuncao,descricaoSubfuncao,idAcao,descricaoAcao,natureza,idDespesa,numeroElemento,descricaoElemento,descricaoLocalizador,categoriaEconomica,valorOrcado,valorOrcadoAlterado,valorOrcadoAtualizado,valorEmpenhado,valorEmpenhadoAtualizado,valorLiquidado,valorLiquidadoAtualizado,valorALiquidar,valorPago,valorPagoAnulado,valorPagoAtualizado,valorAPagarEmpenhado,valorAPagarLiquidado,percentualEmpenhadoSobreOrcadoInicial,percentualEmpenhadoSobreOrcadoAtualizado,percentualLiquidadoSobreOrcadoInicial,percentualLiquidadoSobreOrcadoAtualizado,percentualPagoSobreOrcadoInicial,percentualPagoSobreOrcadoAtualizado,fontesRecursos,informacaoPlanejamento,empenhos,suplementacoes
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA,2025,GESTÃO DA POLITICA MUNICIPAL DE ASSISTÊNCIA SOCIAL,Manut. da Proteção Social Especial - SUAS,"Garantir financiamento para as ações socioassistenciais ofertados através das entidades do município, bem como a estrutura necessária para o funcionamento da gestão de assistência social;- Monitorar e avaliar os serviços socioassistenciais governamentais e não governamentais visando à garantia dos serviços prestados;- Promover a participação de profissionais e conselheiros em eventos afetos à politica de assistência social, com vistas à formação profissional e o exercício do controle social.",FUNDO MUN. DE ASSIST. SOCIAL,Gestão da Assistência Social,Assistência Social,Assistência Comunitária,1068,Manut. da Proteção Social Especial - SUAS,TRANSFERÊNCIAS A MUNICÍPIOS,20,33400000000000,TRANSFERÊNCIAS A MUNICÍPIOS,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA,DESPESAS CORRENTES,0,9353.38,9353.38,9353.38,9353.38,9353.38,9353.38,0.0,9353.38,0.0,9353.38,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,fontesRecursos_f8cf467d-de20-4472-94b5-644a741449b0.csv,informacaoPlanejamento_891f6e05-8c99-447c-a3f1-a9773551b21c.csv,empenhos_4c8b77f1-6b81-410a-891a-c24d10a0f8b3.csv,suplementacoes_cfae82de-1d33-4921-bb66-2c9022eefe46.csv
FUNDACAO CULTURAL DE CRICIUMA,2025,CULTURA PARA TODOS,Desenvolvimento Artistico e Cultural,"Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Cultura,"Patrimônio Histórico, Artístico e Arqueológico",1089,Desenvolvimento Artistico e Cultural,TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,7,33500000000000,TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS CORRENTES,700000,0.0,700000.0,420000.0,420000.0,135000.0,135000.0,285000.0,135000.0,0.0,135000.0,285000.0,0.0,60.0,60.0,19.29,19.29,19.29,518.52,fontesRecursos_d21e72ab-df06-41e2-9bc1-6ab899d423a0.csv,informacaoPlanejamento_0ddfaee0-34a2-4e1b-8918-f2c36e871d22.csv,empenhos_0891da9e-ab70-41e3-82f8-987def174213.csv, 
FUNDACAO CULTURAL DE CRICIUMA,2025,CULTURA PARA TODOS,Manut. da Fundação Cultural,"Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Cultura,Administração Geral,1088,Manut. da Fundação Cultural,TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS COM FINS LUCRATIVOS,4,33600000000000,TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS COM FINS LUCRATIVOS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS CORRENTES,100000,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_b54d667d-da81-4ab3-a8e6-86ebcf087ac4.csv,informacaoPlanejamento_b14a8f7a-e3c4-4e6c-b9ef-e82d12d43871.csv, , 
FUNDACAO CULTURAL DE CRICIUMA,2025,CULTURA PARA TODOS,Manut. da Fundação Cultural,"Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Cultura,Administração Geral,1088,Manut. da Fundação Cultural,TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,3,33500000000000,TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS CORRENTES,400000,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_bb9c6dac-638f-409a-8b47-a11a3ca235b5.csv,informacaoPlanejamento_0aa12cba-6c45-4c3f-a40a-8479c718fe0c.csv, , 
FUNDACAO CULTURAL DE CRICIUMA,2025,CULTURA PARA TODOS,Manut. da Fundação Cultural,"Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Cultura,Administração Geral,1088,Manut. da Fundação Cultural,APLICAÇÕES DIRETAS,6,44900000000000,APLICAÇÕES DIRETAS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS DE CAPITAL,700000,0.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_8a263b0c-8737-4b90-af45-6e71aef1ce99.csv,informacaoPlanejamento_e1707d38-54c2-4f14-9220-d475eb132ec9.csv, , 
FUNDACAO CULTURAL DE CRICIUMA,2025,GESTÃO ADMINISTRATIVA,Manutenção do Fundo Municipal do Turismo - FUMTUR,"Planejar a gestão publica atraves de implementações de dados gerenciais visando a redução de custos, e estrategicas na defesa civil do municipio.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Comércio e Serviços,Turismo,1219,Manutenção do Fundo Municipal do Turismo - FUMTUR,APLICAÇÕES DIRETAS,2,44900000000000,APLICAÇÕES DIRETAS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS DE CAPITAL,150000,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_e53242cd-2174-444f-8065-9073b48012b8.csv,informacaoPlanejamento_160957bd-2e2b-46de-92c0-c971b6f6acc0.csv, , 
FUNDACAO CULTURAL DE CRICIUMA,2025,CULTURA PARA TODOS,Praça da PEC,"Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Cultura,Serviços Urbanos,1092,Praça da PEC,APLICAÇÕES DIRETAS,14,44900000000000,APLICAÇÕES DIRETAS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS DE CAPITAL,5000,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_a65e8f3e-dbab-48a6-ac14-fd0a30436c91.csv,informacaoPlanejamento_c72a19ee-df0d-46e0-9fc8-f5bad3ef38f9.csv, , 
FUNDACAO CULTURAL DE CRICIUMA,2025,GESTÃO ADMINISTRATIVA,Manutenção do Fundo Municipal do Turismo - FUMTUR,"Planejar a gestão publica atraves de implementações de dados gerenciais visando a redução de custos, e estrategicas na defesa civil do municipio.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Comércio e Serviços,Turismo,1219,Manutenção do Fundo Municipal do Turismo - FUMTUR,APLICAÇÕES DIRETAS,1,33900000000000,APLICAÇÕES DIRETAS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS CORRENTES,150000,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_d57ef814-427f-44d2-9b92-8b3508ccc49c.csv,informacaoPlanejamento_6b53d2b7-dbb9-43c7-984d-756a082c2412.csv, , 
FUNDACAO CULTURAL DE CRICIUMA,2025,CULTURA PARA TODOS,Praça da PEC,"Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Cultura,Serviços Urbanos,1092,Praça da PEC,APLICAÇÕES DIRETAS,13,33900000000000,APLICAÇÕES DIRETAS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS CORRENTES,5000,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_376d4364-8d65-4b71-aeab-cd0f5135f844.csv,informacaoPlanejamento_3460c085-381c-47ed-972d-473a3323e901.csv, , 
FUNDACAO CULTURAL DE CRICIUMA,2025,CULTURA PARA TODOS,Unidades Culturais,"Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.",FUNDAÇÃO MUN. DE CULTURA,Fundação Mun. de Cultura,Cultura,Difusão Cultural,1090,Unidades Culturais,APLICAÇÕES DIRETAS,12,44900000000000,APLICAÇÕES DIRETAS,FUNDACAO CULTURAL DE CRICIUMA,DESPESAS DE CAPITAL,40000,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fontesRecursos_9ad72b6e-2b70-4cc0-acf8-2376bf66c74e.csv,informacaoPlanejamento_9cc011df-6709-46ef-9ec8-4a54b5c6c28d.csv, , 
